chr;x0;x1;y
chr3;1e+07;2e+07;0.850337915404971
chr3;2e+07;3e+07;0.490486245587704
chr3;3e+07;4e+07;0.661823004902331
chr3;4e+07;5e+07;1.96967848787992
chr3;5e+07;6e+07;1.12673239190219
chr3;6e+07;7e+07;0.877469158026945
chr3;7e+07;8e+07;0.808796274826503
chr3;8e+07;9e+07;1.34108339932388
chr3;9e+07;1e+08;0.772592213399463
chr3;1e+08;1.1e+08;0.459548559670525
chr3;1.1e+08;1.2e+08;0.966864156197026
chr3;1.2e+08;1.3e+08;1.66741337634412
chr3;1.3e+08;1.4e+08;1.47825962659675
chr3;1.4e+08;1.5e+08;1.09152353695404
chr3;1.5e+08;1.6e+08;0.697723636452311
chr3;1.6e+08;1.7e+08;1.03665251232356
chr3;1.7e+08;1.8e+08;0.627006202954631
chr3;1.8e+08;1.9e+08;0.24552511913327
chr3;1.9e+08;2e+08;1.0246979161872
chr3;2e+08;2.1e+08;0.39457319891508
chr3;2.1e+08;2.2e+08;1.73168490615502
chr3;2.2e+08;2.3e+08;1.6100304331491
chr3;2.3e+08;2.4e+08;1.50075416116645
