chr;x;labels
chr1;1e+07;Gene1
chr1;2e+07;Gene2
chr1;3e+07;Gene3
chr1;4e+07;Gene4
chr1;5e+07;Gene5
chr1;6e+07;Gene6
chr1;7e+07;Gene7
chr1;8e+07;Gene8
chr1;9e+07;Gene9
chr1;1e+08;Gene10
chr2;1e+07;Gene1
chr2;2e+07;Gene2
chr2;3e+07;Gene3
chr2;4e+07;Gene4
chr2;5e+07;Gene5
chr2;6e+07;Gene6
chr2;7e+07;Gene7
chr2;8e+07;Gene8
chr2;9e+07;Gene9
chr2;1e+08;Gene10
chr5;1e+07;Gene1
chr5;2e+07;Gene2
chr5;3e+07;Gene3
chr5;4e+07;Gene4
chr5;5e+07;Gene5
chr5;6e+07;Gene6
chr5;7e+07;Gene7
chr5;8e+07;Gene8
chr5;9e+07;Gene9
chr5;1e+08;Gene10
