chr;x;y
chr1;1e+07;0.465897786709921
chr1;2e+07;0.714296983642456
chr1;3e+07;0.678489391925177
chr1;4e+07;0.406946152932513
chr1;5e+07;0.292396168797559
chr1;6e+07;0.744130394836168
chr1;7e+07;0.466692033241657
chr1;8e+07;-0.243781680529087
chr1;9e+07;0.105695420269159
chr1;1e+08;0.325582105764883
chr1;1.1e+08;0.997336182273143
chr1;1.2e+08;0.724140594027733
chr1;1.3e+08;0.725614032649523
chr1;1.4e+08;0.587265657727397
chr1;1.5e+08;0.893060280671712
chr1;1.6e+08;0.607765762940463
chr1;1.7e+08;0.997327660979003
chr1;1.8e+08;0.716153061773096
chr1;1.9e+08;1.09542296533679
chr1;2e+08;0.0392730731708411
chr1;2.1e+08;0.521128269782082
chr1;2.2e+08;0.573291517693024
chr1;2.3e+08;0.511684595241697
