chr;start;end;pval
chrI;87374;88247.74;7.0561147434637
chrI;174473;176217.73;6.60452225012705
chrI;107055;108125.55;8.06131643243134
chrI;45997;46456.97;3.8582577323541
chrI;68920;69609.2;0.446656993590295
chrI;90052;90952.52;1.96531035238877
chrI;78930;79719.3;6.68661601608619
chrI;5242;5294.42;8.06138665182516
chrI;107824;108902.24;5.91589830582961
chrI;213201;215333.01;2.68840215168893
chrI;1365;1378.65;3.42237659264356
chrI;135832;137190.32;7.70601491210982
chrI;143936;145375.36;1.19020129553974
chrI;229672;231968.72;4.43127186270431
chrI;157561;159136.61;7.4976452998817
chrI;167145;168816.45;0.424525334965438
chrI;54060;54600.6;1.95934112882242
chrI;92729;93656.29;6.70572905102745
chrI;22544;22769.44;1.81285906815901
chrI;134638;135984.38;2.49204050982371
chrI;38648;39034.48;9.52355337562039
chrI;143973;145412.73;9.19454175047576
chrI;50141;50642.41;4.86380045535043
chrI;161602;163218.02;1.42745180055499
chrI;49258;49750.58;1.61092774476856
chrI;219232;221424.32;2.93571615824476
chrI;123721;124958.21;2.47724852990359
chrI;181341;183154.41;7.59034475544468
chrI;66205;66867.05;7.77455640025437
chrI;15234;15386.34;7.07443477585912
chrI;29068;29358.68;9.66842941707
chrI;22961;23190.61;2.25776748964563
chrI;180657;182463.57;9.84736884245649
chrI;8776;8863.76;2.31739613693208
chrI;171721;173438.21;9.25753680989146
chrI;196166;198127.66;7.97364755766466
chrI;30255;30557.55;7.62904222123325
chrI;71735;72452.35;1.28523538587615
chrI;41984;42403.84;3.925036911387
chrI;139814;141212.14;6.538188343402
chrI;3786;3823.86;2.33471099520102
chrI;204814;206862.14;8.14274241682142
chrI;85850;86708.5;9.39091780222952
chrI;36768;37135.68;5.77990874182433
chrI;57825;58403.25;3.83594766724855
chrI;14062;14202.62;8.92002193257213
chrI;73037;73767.37;7.31195672880858
chrI;229580;231875.8;6.83213872369379
chrI;3758;3795.58;9.13282356923446
chrI;38921;39310.21;7.58234174456447
chrI;25941;26200.41;3.51416322402656
chrI;167784;169461.84;8.46087498124689
chrI;102029;103049.29;4.34934019576758
chrI;168125;169806.25;1.96462277090177
chrI;145703;147160.03;3.0737339053303
chrI;166620;168286.2;6.40261160675436
chrI;50051;50551.51;0.356846023350954
chrI;121425;122639.25;8.96293992642313
chrI;144568;146013.68;1.84813702944666
chrI;68027;68707.27;0.375919984653592
chrI;89943;90842.43;4.63293843204156
chrI;187498;189372.98;0.0638622464612126
chrI;63157;63788.57;6.10666315071285
chrI;48214;48696.14;4.24054711125791
chrI;154263;155805.63;7.48802911490202
chrI;172379;174102.79;2.00652605388314
chrI;37224;37596.24;6.84290559031069
chrI;179218;181010.18;2.08480131113902
chrI;130476;131780.76;0.552455200813711
chrI;199794;201791.94;5.75317255686969
chrI;128778;130065.78;3.81962994812056
chrI;84818;85666.18;0.188165984582156
chrI;109062;110152.62;7.82488386379555
chrI;149607;151103.07;3.80917955422774
chrI;109973;111072.73;7.6026175217703
chrI;201617;203633.17;2.61653658701107
chrI;129914;131213.14;3.67577938595787
chrI;222739;224966.39;5.5314939795062
chrI;37607;37983.07;8.93024798482657
chrI;149218;150710.18;3.99425867944956
chrI;222604;224830.04;2.62279921444133
chrI;15653;15809.53;8.31756346626207
chrI;169704;171401.04;6.99915474513546
chrI;154811;156359.11;3.01149406703189
chrI;59327;59920.27;3.31614063121378
chrI;169098;170788.98;8.15378661733121
chrI;229900;232199;2.71288406802341
chrI;147766;149243.66;7.83111572731286
chrI;40968;41377.68;9.7562491055578
chrI;61098;61708.98;5.78093861695379
chrI;41779;42196.79;5.60424486640841
chrI;102019;103039.19;7.38415905274451
chrI;112200;113322;3.65787494927645
chrI;50419;50923.19;3.89102724147961
chrI;175048;176798.48;9.09231186378747
chrI;158518;160103.18;8.83017243118957
chrI;186213;188075.13;1.55192840611562
chrI;38946;39335.46;8.83002858841792
chrI;76511;77276.11;4.63451971299946
chrI;218219;220401.19;8.16546967020258
chrI;55307;55860.07;1.97679706849158
chrI;45042;45492.42;4.10253602312878
chrI;53348;53881.48;6.04787139222026
chrI;124846;126094.46;9.10498049575835
chrI;31454;31768.54;5.98646721336991
chrI;184955;186804.55;7.30949794640765
chrI;152301;153824.01;8.93906524637714
chrI;54799;55346.99;1.15249409573153
chrI;95487;96441.87;2.91393634397537
chrI;173666;175402.66;9.72253127489239
chrI;19653;19849.53;5.39049225859344
chrI;170138;171839.38;1.50909169809893
chrI;168868;170556.68;7.71419214317575
chrI;100742;101749.42;5.23350314702839
chrI;213086;215216.86;1.66550604626536
chrI;54876;55424.76;1.88585793133825
chrI;176667;178433.67;4.58110317122191
chrI;3299;3331.99;9.27805424435064
chrI;15542;15697.42;7.6623903750442
chrI;198501;200486.01;4.88247810630128
chrI;103850;104888.5;0.595490797422826
chrI;69142;69833.42;8.53835833026096
chrI;164420;166064.2;2.29510451667011
chrI;72261;72983.61;3.51302201393992
chrI;794;801.94;6.904202029109
chrI;150387;151890.87;6.51425012154505
chrI;122914;124143.14;9.80798953445628
chrI;217038;219208.38;6.76113333785906
chrI;128621;129907.21;0.683181600179523
chrI;52257;52779.57;3.08823740109801
chrI;138535;139920.35;4.49762726668268
chrI;10640;10746.4;1.29253497114405
chrI;52729;53256.29;9.70838055945933
chrI;219343;221536.43;8.6513893888332
chrI;174670;176416.7;7.48199700843543
chrI;23966;24205.66;2.11438383208588
chrI;131547;132862.47;4.75146477110684
chrI;111831;112949.31;8.21143590146676
chrI;194033;195973.33;3.94282696535811
chrI;107454;108528.54;2.24560026312247
chrI;30519;30824.19;0.437161277513951
chrI;85148;85999.48;3.54627803433687
chrI;157462;159036.62;1.97918243007734
chrI;180251;182053.51;9.51706955675036
chrI;166471;168135.71;0.678941875230521
chrI;14592;14737.92;6.12412996590138
chrI;3392;3425.92;8.83096091682091
chrI;4108;4149.08;0.0867066765204072
chrI;153087;154617.87;1.50730540975928
chrI;87955;88834.55;2.27542768232524
chrI;13802;13940.02;8.52753215003759
chrI;97425;98399.25;1.49983641225845
chrI;98804;99792.04;1.99657261837274
chrI;158283;159865.83;9.54148055054247
chrI;61614;62230.14;2.351956772618
chrI;132704;134031.04;1.11705608898774
chrI;54763;55310.63;8.27127165626735
chrI;26585;26850.85;1.02017532102764
chrI;184409;186253.09;1.10733348876238
chrI;94356;95299.56;4.04370550531894
chrI;56849;57417.49;4.31050621205941
chrI;104505;105550.05;1.49424759903923
chrI;81226;82038.26;2.50792753184214
chrI;151309;152822.09;2.79875316657126
chrI;73494;74228.94;1.15197621518746
chrI;25420;25674.2;3.87684920569882
chrI;207842;209920.42;7.08815909689292
chrI;206478;208542.78;8.01182197639719
chrI;18043;18223.43;5.36660650512204
chrI;128615;129901.15;7.66902998322621
chrI;217302;219475.02;2.27762231836095
chrI;135892;137250.92;7.20506994985044
chrI;106768;107835.68;2.82361691119149
chrI;138404;139788.04;5.60862008016557
chrI;86927;87796.27;2.95772980665788
chrI;227361;229634.61;7.90414716582745
chrI;68072;68752.72;8.48905902123079
chrI;30473;30777.73;3.22652987204492
chrI;159646;161242.46;8.51706586778164
chrI;102144;103165.44;3.61890078522265
chrI;192506;194431.06;3.33073245361447
chrI;156498;158062.98;9.83405099483207
chrI;161662;163278.62;4.80300197843462
chrI;53128;53659.28;6.2006206298247
chrI;105328;106381.28;7.93063985416666
chrI;97530;98505.3;5.33210997702554
chrI;93646;94582.46;8.55489755282179
chrI;163989;165628.89;3.2092477218248
chrI;38273;38655.73;1.86115842545405
chrI;80396;81199.96;1.92114472622052
chrI;71263;71975.63;5.12653164332733
chrI;29313;29606.13;3.42033251421526
chrI;152869;154397.69;6.78318186663091
chrI;221394;223607.94;9.35465089511126
chrI;6045;6105.45;5.95010752556846
chrI;220546;222751.46;3.98967393906787
chrI;93108;94039.08;2.05662651453167
chrI;145337;146790.37;9.42669258685783
chrI;183339;185172.39;5.48169791465625
chrI;155454;157008.54;1.66908584535122
chrI;224935;227184.35;3.39666444109753
chrI;142071;143491.71;4.99051809543744
chrI;104779;105826.79;4.38813139917329
chrI;224455;226699.55;2.7881094510667
chrI;58365;58948.65;2.32491090428084
chrI;161441;163055.41;5.10086501017213
chrI;81639;82455.39;7.85778624238446
chrI;106571;107636.71;8.49268433405086
chrI;202347;204370.47;4.39632351743057
chrI;74166;74907.66;4.34589754091576
chrI;3028;3058.28;3.07201650459319
chrI;124090;125330.9;0.85734270978719
chrI;22222;22444.22;3.94317348720506
chrI;149430;150924.3;2.45339432964101
chrI;158994;160583.94;0.718095453921706
chrI;12224;12346.24;3.22173579130322
chrI;15709;15866.09;7.41915435995907
chrI;42871;43299.71;4.61459969868884
chrI;207508;209583.08;4.82740010134876
chrI;47663;48139.63;5.23401484359056
chrI;48310;48793.1;2.19863412668929
chrI;212208;214330.08;1.51618104660884
chrI;8517;8602.17;8.60104379011318
chrI;150303;151806.03;5.69590630708262
chrI;153949;155488.49;0.183280583005399
chrI;7664;7740.64;5.83796561928466
chrI;58337;58920.37;6.03852828964591
chrI;35980;36339.8;7.63841236010194
chrI;187226;189098.26;8.50124671822414
chrI;14068;14208.68;9.78368028765544
chrI;14482;14626.82;0.0133755314163864
chrI;129858;131156.58;9.53333063283935
