chr;x;y
chr1;1e+07;0.69900300536317
chr1;2e+07;0.836034470390214
chr1;3e+07;0.120910064330816
chr1;4e+07;0.669035767579851
chr1;5e+07;0.520955757179049
chr1;6e+07;0.171968531015725
chr1;7e+07;0.467026687835815
chr1;8e+07;0.791360760059319
chr1;9e+07;0.225780524483272
chr1;1e+08;0.880020094701749
chr1;1.1e+08;0.29572826923674
chr1;1.2e+08;0.75522390036422
chr1;1.3e+08;0.70271991596051
chr1;1.4e+08;0.413636158136663
chr1;1.5e+08;0.266042998171364
chr1;1.6e+08;0.602499518196069
chr1;1.7e+08;0.297613421307601
chr1;1.8e+08;-0.167597426437636
chr1;1.9e+08;0.650121520580553
chr1;2e+08;0.270039728334203
chr1;2.1e+08;0.319740047721055
chr1;2.2e+08;0.796413908235764
chr1;2.3e+08;0.099480457544401
chr6;4e+06;0.655047558013493
chr6;8e+06;-0.782570023574017
chr6;1.2e+07;-0.557833306263788
chr6;1.6e+07;0.60062405172178
chr6;2e+07;1.26134370910719
chr6;2.4e+07;1.13485284750412
chr6;2.8e+07;-0.473860378919977
chr6;3.2e+07;-0.530078164941478
chr6;3.6e+07;1.39642274717118
chr6;4e+07;0.247049477524002
chr6;4.4e+07;1.73877903225271
chr6;4.8e+07;1.15692821313267
chr6;5.2e+07;-0.505805333238478
chr6;5.6e+07;-0.242678094741518
chr6;6e+07;0.991634868418707
chr6;6.4e+07;0.46704994093579
chr6;6.8e+07;-0.257171429728367
chr6;7.2e+07;1.44889887666146
chr6;7.6e+07;0.661816283966349
chr6;8e+07;0.71312850287067
chr6;8.4e+07;1.563094877398
chr6;8.8e+07;1.47164616923605
chr6;9.2e+07;0.440164459529461
