chr;x;labels
chr1;166697792;Marker
chr1;99185847;Marker
chr2;185624154;Marker
chr2;227797064;Marker
chr3;176285442;Marker
chr3;5141833;Marker
chr4;10510694;Marker
chr4;9441848;Marker
chr5;53002466;Marker
chr5;128581506;Marker
chr6;10981547;Marker
chr6;166408614;Marker
chr7;88391603;Marker
chr7;129944807;Marker
chr8;86912517;Marker
chr8;65796116;Marker
chr9;19608253;Marker
chr9;96283496;Marker
chr10;131421276;Marker
chr10;66548876;Marker
chr11;102781853;Marker
chr11;112495486;Marker
chr12;70997790;Marker
chr12;6862684;Marker
chr13;99164693;Marker
chr13;107371820;Marker
chr14;99366132;Marker
chr14;63699185;Marker
chr15;86741955;Marker
chr15;10768591;Marker
chr16;21457887;Marker
chr16;64288177;Marker
chr17;58166268;Marker
chr17;73166757;Marker
chr18;78280500;Marker
chr18;66732027;Marker
chr19;50276127;Marker
chr19;37587124;Marker
chr20;50455268;Marker
chr20;36878370;Marker
chr21;22435851;Marker
chr21;1608333;Marker
chr22;45965169;Marker
chr22;50641224;Marker
chrX;75480405;Marker
chrX;49467944;Marker
chrY;22273231;Marker
chrY;8856024;Marker
