chr;start;end
chr2L;17072269;17073623.6769074
chr2L;22115691;22119562.2264035
chr2L;11955874;11957466.6143539
chr2L;22920513;22925129.2485183
chr2L;16472708;16475962.3166834
chr2L;11007888;11009709.5058027
chr2L;12708211;12711784.4359079
chr2L;3195226;3199737.70695285
chr2L;10634702;10639028.8263681
chr2L;105599;107948.936934316
chr2L;570246;574397.265275498
chr2L;14708832;14712384.5294836
chr2L;20241981;20245507.9528902
chr2L;3882629;3885290.00154468
chr2L;6901319;6904923.09632553
chr2L;19772616;19773969.5741732
chr2L;14371356;14373378.2367319
chr2L;404585;405266.064963335
chr2L;20786125;20790367.4045252
chr2L;2783045;2783230.55201943
chr2L;23126585;23129068.3632921
chr2L;17233487;17234639.8112172
chr2L;5811156;5812502.2717841
chr2L;19217021;19217495.0912699
chr2L;17437641;17442173.6735921
chr2L;18200969;18204919.1701896
chr2L;4144765;4146960.57238847
chr2L;1099709;1100549.40449841
chr2L;20870731;20875323.1355055
chr2L;4179532;4182355.34142387
chr2L;16237656;16240731.2668585
chr2L;13495792;13497796.486953
chr2L;20322403;20322806.545352
chr2L;10454347;10456110.7220703
chr2L;15215046;15219306.985322
chr2L;15072197;15075442.9015435
chr2L;6627167;6627350.92594384
chr2L;16640759;16645122.2948297
chr2L;13319806;13321551.9649076
chr2L;1956099;1959933.64250779
chr2L;6578566;6583227.54414915
chr2L;7469645;7473574.43951727
chr2L;12577338;12579946.6850294
chr2L;16090411;16095031.5905531
chr2L;16149893;16151408.0034974
chr2L;22224586;22227851.4440975
chr2L;20128047;20128166.4901894
chr2L;3044733;3047604.18434892
chr2L;507670;510118.841415045
chr2L;11109628;11110100.1979863
chr2L;7827816;7829396.6404555
chr2L;23202013;23204532.3313302
chr2L;17336108;17339872.166212
chr2L;18066520;18067522.7114837
chr2L;6368105;6372118.95260179
chr2L;19495082;19498713.9861756
chr2L;7523137;7525702.62263273
chr2L;569333;572297.970827745
chr2L;13383982;13385023.9601468
chr2L;19850539;19851186.9123103
chr2L;20249312;20249748.9920792
chr2L;5524293;5527999.17167946
chr2L;12141971;12142683.4839589
chr2L;7198447;7200293.25041173
chr2L;16656041;16658130.0256493
chr2L;2554754;2557386.07724797
chr2L;15023927;15024692.9451536
chr2L;21872484;21875180.666936
chr2L;6563569;6565038.26245216
chr2L;12165460;12169614.0144843
chr2L;121341;124295.692240786
chr2L;14098431;14099767.670645
chr2L;13256013;13256389.4603809
chr2L;20195992;20196912.5914842
chr2L;6170224;6174150.3326605
chr2L;2836994;2839691.87444864
chr2L;5189862;5191884.20410669
chr2L;19835262;19839843.8802011
chr2L;16079214;16082952.6151321
chr2L;9244027;9244490.91329984
chr2L;11341879;11346696.1578458
chr2L;12451262;12453043.7063337
chr2L;9299071;9300254.13661809
chr2L;22490670;22494860.513636
chr2L;8736750;8741205.97758089
chr2L;14895433;14895509.9101972
chr2L;14039068;14043822.2445502
chr2L;14176140;14180497.8828587
chr2L;23233;24147.6928309234
chr2L;1229524;1231161.80629921
chr2L;21569642;21571442.1168556
chr2L;23098298;23099496.3626451
chr2L;12057802;12061723.0775202
chr2L;2705801;2707885.61330262
chr2L;5961813;5963400.08760812
chr2L;268627;269874.069847862
chr2L;17939619;17941852.3935148
chr2L;12830134;12831860.1889168
chr2L;22739747;22743889.3496917
chr2L;16832450;16835686.148871
chr2L;19175603;19180284.0880162
chr2L;3019595;3021857.54409944
chr2L;1295531;1296490.8672132
chr2L;11379151;11382270.72193
chr2L;1127247;1127377.58861709
chr2L;2014448;2015529.24783885
chr2L;19817037;19820742.4541334
chr2L;4708500;4709375.75158016
chr2L;4049928;4053634.90433966
chr2L;15930778;15933774.9808799
chr2L;13560251;13564599.4215439
chr2L;10212765;10216520.1459716
chr2L;19469224;19471225.825706
chr2L;1992543;1995454.62360741
chr2L;21876457;21878081.3397435
chr2L;3611027;3615689.35004309
chr2L;19503401;19504531.3821557
chr2L;13752718;13756171.4695236
chr2L;11771989;11772512.8651053
chr2L;6846738;6847024.35817461
chr2L;6914389;6916256.00831708
chr2L;7571310;7575931.08100177
chr2L;20861292;20862319.8474881
chr2L;797932;802005.579036752
chr2L;3543700;3546234.91124218
chr2L;12355541;12359174.2879951
chr2L;10223826;10227533.2253668
chr2L;12178102;12178540.2524896
chr2L;15928900;15933673.8176024
chr2L;13326276;13329496.4087514
chr2L;18219195;18220175.524531
chr2L;1666649;1667271.44449327
chr2L;2787006;2787088.86427729
chr2L;13596454;13600847.6277837
chr2L;2883127;2883363.87577818
chr2L;21300340;21301204.4089934
chr2L;4063437;4067280.02083158
chr2L;5254294;5256778.76194631
chr2L;17143178;17144409.8145375
chr2L;17044810;17049650.8220424
chr2L;22515547;22517494.6059017
chr2L;16569221;16569490.1144203
chr2L;23156341;23158205.4547625
chr2L;1150544;1154472.23292706
chr2L;7573505;7574618.79726789
chr2L;7199980;7201929.0567154
chr2L;11066767;11068240.3392243
chr2L;9601693;9604669.86299658
chr2L;16892181;16893030.5058508
chr2L;6956976;6958292.49481034
chr2L;19958826;19960221.3326686
