chr;x;labels
chr1;91208047;Marker
chr1;142339391;Marker
chr2;24649396;Marker
chr2;144361792;Marker
chr3;104125683;Marker
chr3;125833816;Marker
chr4;59017870;Marker
chr4;95215954;Marker
chr5;1776418;Marker
chr5;54660285;Marker
chr6;135863049;Marker
chr6;12047930;Marker
chr7;40889926;Marker
chr7;15283324;Marker
chr8;40717694;Marker
chr8;42614208;Marker
chr9;104977505;Marker
chr9;11697379;Marker
chr10;119345315;Marker
chr10;106024776;Marker
chr11;97632368;Marker
chr11;59457267;Marker
chr12;31663121;Marker
chr12;59605203;Marker
chr13;102674408;Marker
chr13;75388285;Marker
chr14;14530062;Marker
chr14;109266535;Marker
chr15;84663047;Marker
chr15;8564630;Marker
chr16;95198067;Marker
chr16;62339640;Marker
chr17;57381270;Marker
chr17;82882;Marker
chr18;32669302;Marker
chr18;63584134;Marker
chr19;17997403;Marker
chr19;59448104;Marker
chrX;25285698;Marker
chrX;133855090;Marker
chrY;1809753;Marker
chrY;15012547;Marker
