chr;start;end;pval
chr1;33753;33753;0.0576031683136819
chr1;256934;256934;0.00521722682220469
chr1;445708;445708;0.0922603436466368
chr1;1234457;1234457;0.314262550893573
chr1;1372353;1372353;0.155409533816409
chr1;1473148;1473148;0.00213434643716651
chr1;1656349;1656349;0.820270113533587
chr1;1957145;1957145;0.55731616002517
chr1;2018567;2018567;0.383911965417547
chr1;2071758;2071758;0.0806344287695821
chr1;2120346;2120346;0.131571173351939
chr1;2251855;2251855;0.0293789766280065
chr1;2327521;2327521;0.585767926833618
chr1;2469774;2469774;0.0472572490126802
chr1;2654139;2654139;0.554137334478976
chr1;2843500;2843500;0.802012517677308
chr1;3313251;3313251;0.0272789255331701
chr1;3654362;3654362;0.564865277017676
chr1;3719991;3719991;0.00387117810661565
chr1;3808135;3808135;0.945671163062583
chr1;3861393;3861393;0.0413272614697151
chr1;3874559;3874559;0.374066685984469
chr1;3994493;3994493;0.280414647094284
chr1;4059847;4059847;0.161855352915363
chr1;4682725;4682725;0.339453661030191
chr1;4757049;4757049;0.570049435044928
chr1;4842388;4842388;0.0641529677830817
chr1;4920999;4920999;0.069330267002666
chr1;5198901;5198901;0.0561969497065856
chr1;5253338;5253338;0.168698037510049
chr1;5360331;5360331;0.125272736357549
chr1;5460530;5460530;0.0858839331590766
chr1;5634061;5634061;0.198432550631973
chr1;5638765;5638765;0.0542276344668893
chr1;5839451;5839451;0.0166702762816508
chr1;6074751;6074751;0.00484432369232773
chr1;6319617;6319617;0.419293979092152
chr1;6371710;6371710;0.992324582101228
chr1;6486314;6486314;0.351428070989012
chr1;6553435;6553435;0.115711485472964
chr1;6856008;6856008;0.119374050539676
chr1;6865060;6865060;0.223286121428253
chr1;6900503;6900503;0.00727370183969805
chr1;7166309;7166309;0.444812050938753
chr1;7289377;7289377;0.157970521985924
chr1;7482316;7482316;0.0117409292767188
chr1;7610280;7610280;0.505623604164498
chr1;7836525;7836525;0.0489594485560029
chr1;7991044;7991044;0.048343175264545
chr1;7993682;7993682;0.571888552087494
chr1;8062700;8062700;0.0335261634534393
chr1;8119466;8119466;0.458013504110964
chr1;8235338;8235338;0.307570731702605
chr1;8287306;8287306;0.279368871898607
chr1;8358631;8358631;0.576081406672289
chr1;8479068;8479068;0.169032806726977
chr1;8511871;8511871;0.515515588548609
chr1;8596945;8596945;0.00292129921576181
chr1;9256292;9256292;0.000812345197859786
chr1;9440207;9440207;0.713863783340236
chr1;9488471;9488471;0.985110160717736
chr1;9559179;9559179;0.247315583110038
chr1;9715281;9715281;0.0294781196978222
chr1;9999439;9999439;0.161862036435559
chr1;10040714;10040714;0.0220677603079554
chr1;10070916;10070916;0.0449629413225585
chr1;10125063;10125063;0.285581796910122
chr1;10239953;10239953;0.00106924819316353
chr1;10373066;10373066;0.135208729177876
chr1;10529864;10529864;0.240915726409743
chr1;10548729;10548729;0.196335299349277
chr1;10705948;10705948;0.052448097664932
chr1;10975185;10975185;0.212426366126344
chr1;11030876;11030876;0.384950118367735
chr1;11222687;11222687;0.568104384652796
chr1;11277839;11277839;0.204603764083571
chr1;11479003;11479003;0.524363873795307
chr1;11888069;11888069;0.00523780683902532
chr1;12289774;12289774;0.745676716581575
chr1;12377088;12377088;0.69570631827634
chr1;12488210;12488210;0.0595117034039788
chr1;12589911;12589911;0.0107240740251512
chr1;12820001;12820001;0.14047220955398
chr1;12894590;12894590;0.0284557899930215
chr1;12933579;12933579;0.00964413866140347
chr1;13061457;13061457;0.178288161972395
chr1;13092487;13092487;0.596010421735242
chr1;13205331;13205331;0.0775346042542705
chr1;13242294;13242294;0.0884477305126289
chr1;13328345;13328345;0.316288993426872
chr1;13393879;13393879;0.0738077755415538
chr1;13695754;13695754;0.0246212460572168
chr1;13712875;13712875;0.137811272386727
chr1;13719772;13719772;0.645755067378167
chr1;14027381;14027381;0.0800950405659402
chr1;14444867;14444867;0.287431666355135
chr1;14518550;14518550;0.256438752946039
chr1;14638015;14638015;0.306195116630844
chr1;14922146;14922146;0.675371110652737
chr1;15017660;15017660;0.0256124894622214
chr1;15219569;15219569;0.0502683107416235
chr1;15298036;15298036;0.24024865720341
chr1;15481229;15481229;0.353745302280679
chr1;15637897;15637897;0.512570146105325
chr1;15682578;15682578;0.0829006373509137
chr1;15715712;15715712;0.317148821177269
chr1;16004533;16004533;0.356379847918707
chr1;16295735;16295735;0.0284629407259717
chr1;16419223;16419223;0.0689543625555888
chr1;16540509;16540509;0.038635554756972
chr1;16925617;16925617;0.25970584586827
chr1;17158150;17158150;0.0775591718594615
chr1;17323730;17323730;0.107123216418354
chr1;17763283;17763283;0.0430170268174751
chr1;17837887;17837887;0.439952495029794
chr1;17966186;17966186;0.654018450070191
chr1;17993937;17993937;0.557826915486253
chr1;18042904;18042904;0.572618858735879
chr1;18695384;18695384;0.278307463393437
chr1;18868425;18868425;0.0957849862518299
chr1;18904081;18904081;0.0802248377746115
chr1;19165511;19165511;1.29024507900609e-06
chr1;19527495;19527495;0.591423799302
chr1;19627496;19627496;7.61979081058618e-05
chr1;19759123;19759123;0.78695175654702
chr1;19909363;19909363;0.0403384323886687
chr1;20126493;20126493;9.44623368733343e-06
chr1;20294149;20294149;0.00420312279760842
chr1;20673174;20673174;9.52782470035716e-06
chr1;21016183;21016183;0.204869171537443
chr1;21121634;21121634;0.00018033950110535
chr1;21205899;21205899;3.65814465403967e-06
chr1;21449072;21449072;0.0952152113916146
chr1;21624021;21624021;0.000245510670089802
chr1;21757425;21757425;0.000635163311025197
chr1;21943503;21943503;0.314179535565391
chr1;22061911;22061911;0.00778112091326335
chr1;22110697;22110697;0.22880432291424
chr1;22193234;22193234;0.00050035008234533
chr1;22219845;22219845;8.22643640961918e-05
chr1;22399826;22399826;0.00301765081751259
chr1;22726469;22726469;1.26001556760035e-06
chr1;23027729;23027729;0.00236548534121889
chr1;23090266;23090266;0.061971774932957
chr1;23415130;23415130;0.507085011701517
chr1;23514406;23514406;7.78445233687252e-07
chr1;23595768;23595768;2.51500555057182e-06
chr1;24496931;24496931;0.458433178014891
chr1;24590550;24590550;0.00114304333323034
chr1;24632519;24632519;2.31420282811458e-05
chr1;24709053;24709053;2.06253167906159e-05
chr1;24765503;24765503;0.0152486266404581
chr1;25154270;25154270;0.0201984892555705
chr1;25287460;25287460;0.204778345760433
chr1;25519300;25519300;0.746174935595254
chr1;25557969;25557969;2.85262092984027e-06
chr1;26387318;26387318;0.00464950470504945
chr1;26705533;26705533;3.03675449695908e-05
chr1;26987225;26987225;2.21535643605958e-05
chr1;27214993;27214993;0.00898914163981515
chr1;27265963;27265963;0.0388041738933217
chr1;27610788;27610788;0.000595126679265072
chr1;28019298;28019298;9.29195376289338e-07
chr1;28160388;28160388;0.245212333361977
chr1;28667055;28667055;2.59705592956187e-06
chr1;29014449;29014449;2.01108695074071e-05
chr1;29147063;29147063;2.18825449680781e-05
chr1;29212769;29212769;4.28598895962734e-05
chr1;29292758;29292758;2.15727236289203e-05
chr1;29475023;29475023;0.00390634612968048
chr1;29825299;29825299;0.0338020819699541
chr1;30119019;30119019;0.00370530656870363
chr1;30207475;30207475;4.85939971915908e-06
chr1;30250444;30250444;0.183368509857717
chr1;30274088;30274088;1.04570557571366e-05
chr1;30470849;30470849;1.84624114320052e-05
chr1;30711062;30711062;0.218950117202586
chr1;30864038;30864038;2.57920910349522e-06
chr1;30902118;30902118;0.000216200170762165
chr1;31004101;31004101;0.671665855163954
chr1;31086359;31086359;0.000350511520854329
chr1;31348312;31348312;0.333795423574719
chr1;31451074;31451074;0.0533021690907867
chr1;31528734;31528734;0.0177209787511351
chr1;31529991;31529991;0.260599825771873
chr1;31627892;31627892;0.00915195561849655
chr1;31876300;31876300;0.105779357260953
chr1;32041329;32041329;0.022113672064081
chr1;32209003;32209003;0.616231116851483
chr1;32590382;32590382;0.00320868247172644
chr1;32639296;32639296;0.436028463218427
chr1;32870792;32870792;0.0161880125511131
chr1;32897508;32897508;0.191676631406243
chr1;32907030;32907030;0.359634881219345
chr1;32953044;32953044;0.0221041499715821
chr1;32991449;32991449;0.183543778893519
chr1;33058581;33058581;0.0667664234693528
chr1;33142776;33142776;0.291418157168275
chr1;33152758;33152758;0.406144955456307
chr1;33211300;33211300;0.311862569624381
chr1;33366543;33366543;0.469993061064114
chr1;33658621;33658621;0.149965601259995
chr1;33661851;33661851;0.364215120604897
chr1;33708620;33708620;0.0254037457124861
chr1;33875777;33875777;0.000417938677015259
chr1;34092898;34092898;0.410858849428257
chr1;34130821;34130821;0.396127302619944
chr1;35142253;35142253;0.119282674502782
chr1;35279844;35279844;0.342556064430554
chr1;35402863;35402863;0.152847427347154
chr1;35445793;35445793;0.535136003505752
chr1;35474495;35474495;0.00371046903173765
chr1;35524367;35524367;0.329082466825877
chr1;35693102;35693102;0.595168780489273
chr1;35977834;35977834;0.380659348558883
chr1;36047278;36047278;0.0873639401678412
chr1;36194390;36194390;0.49991724683864
chr1;36254034;36254034;0.0660554091955502
chr1;36439553;36439553;0.699119828604212
chr1;36499408;36499408;0.949394232314786
chr1;36527917;36527917;0.00167500184137948
chr1;36638057;36638057;0.00155049582410117
chr1;36702265;36702265;0.823061806751901
chr1;36747649;36747649;0.312920787282031
chr1;36784430;36784430;0.317920503304959
chr1;36894985;36894985;0.245528788804082
chr1;37162641;37162641;0.475478119065679
chr1;37279307;37279307;0.0106951642294483
chr1;37475459;37475459;0.134182338625913
chr1;37511963;37511963;0.590938556481382
chr1;37557531;37557531;0.519680798946929
chr1;37669063;37669063;0.00629716656605974
chr1;37967722;37967722;0.236628169330115
chr1;38031405;38031405;0.257123218157737
chr1;38131118;38131118;0.0335566864795288
chr1;38198870;38198870;0.506635931446889
chr1;38200819;38200819;0.282785457998921
