chr;x;labels
chrI;222202;Marker
chrI;92531;Marker
chrII;53677;Marker
chrII;800940;Marker
chrIII;13287;Marker
chrIII;308208;Marker
chrIV;1225625;Marker
chrIV;1448798;Marker
chrV;194860;Marker
chrV;205063;Marker
chrVI;238433;Marker
chrVI;115699;Marker
chrVII;3681;Marker
chrVII;329832;Marker
chrVIII;452587;Marker
chrVIII;290635;Marker
chrIX;14405;Marker
chrIX;34797;Marker
chrX;533517;Marker
chrX;25555;Marker
chrXI;627131;Marker
chrXI;626410;Marker
chrXII;216042;Marker
chrXII;908105;Marker
chrXIII;714643;Marker
chrXIII;879389;Marker
chrXIV;111025;Marker
chrXIV;442737;Marker
chrXV;487224;Marker
chrXV;958115;Marker
chrXVI;34787;Marker
chrXVI;165123;Marker
chrM;65236;Marker
chrM;33944;Marker
