chr;start;end;pval
chr1;190887480;192796354.8;1.54938148800284
chr1;184198223;186040205.23;0.466358240228146
chr1;175377850;177131628.5;1.84471497777849
chr1;100295811;101298769.11;5.54873775923625
chr1;160691036;162297946.36;6.45098170265555
chr1;21065501;21276156.01;8.24590691132471
chr1;131854890;133173438.9;9.14068539394066
chr1;122547774;123773251.74;4.22578892204911
chr1;71221602;71933818.02;9.39177005318925
chr1;113353652;114487188.52;7.00868253828958
chr1;166380531;168044336.31;4.57280792994425
chr1;46127523;46588798.23;6.88309120945633
chr1;79437981;80232360.81;0.622226747218519
chr1;151228879;152741167.79;0.0134829664602876
chr1;141935151;143354502.51;0.699547047261149
chr1;95246168;96198629.68;5.78683152562007
chr1;92156832;93078400.32;7.45655700564385
chr1;85964417;86824061.17;8.04752346128225
chr1;173594476;175330420.76;0.0790196983143687
chr1;7928957;8008246.57;0.224533204454929
chr1;107813216;108891348.16;7.17877332353964
chr1;79989343;80789236.43;2.83362786751241
chr1;104810114;105858215.14;7.11430233204737
chr1;163185294;164817146.94;1.80631407070905
chr1;170189138;171891029.38;4.92075515212491
chr1;131377490;132691264.9;6.32572170346975
chr1;124302325;125545348.25;6.45486818859354
chr1;130477308;131782081.08;7.16742646181956
chr1;194374686;196318432.86;4.21904335264117
chr1;110763794;111871431.94;3.65307003259659
chr1;179783583;181581418.83;3.3258729823865
chr1;87784526;88662371.26;2.43743168888614
chr1;191534080;193449420.8;8.61987981712446
chr1;97816224;98794386.24;0.413748214486986
chr1;97913339;98892472.39;3.35348695749417
chr1;162049874;163670372.74;1.61468439735472
chr1;14835002;14983352.02;6.30254602059722
chr1;153033427;154563761.27;0.256675197742879
chr1;17503787;17678824.87;6.67207153979689
chr1;158896033;160484993.33;5.47401374438778
chr1;2195771;2217728.71;7.26018416229636
chr1;101184130;102195971.3;7.49005874386057
chr1;10385625;10489481.25;7.86161700962111
chr1;144005791;145445848.91;0.761747148353607
chr1;56024422;56584666.22;1.59805462462828
chr1;162122450;163743674.5;5.79846504842863
