chr;x;labels
chr1;168838076;Marker
chr1;278921974;Marker
chr2;69498271;Marker
chr2;156193535;Marker
chr3;71743332;Marker
chr3;3373815;Marker
chr4;75427746;Marker
chr4;173032812;Marker
chr5;71119156;Marker
chr5;4425790;Marker
chr6;147544592;Marker
chr6;104536335;Marker
chr7;107954800;Marker
chr7;128966749;Marker
chr8;48424346;Marker
chr8;17848092;Marker
chr9;12237082;Marker
chr9;3402530;Marker
chr10;69408012;Marker
chr10;42038911;Marker
chr11;80566629;Marker
chr11;89666227;Marker
chr12;20989437;Marker
chr12;48070782;Marker
chr13;61286752;Marker
chr13;42818184;Marker
chr14;113895886;Marker
chr14;40032863;Marker
chr15;11721006;Marker
chr15;96596063;Marker
chr16;46331888;Marker
chr16;68817246;Marker
chr17;7065127;Marker
chr17;42148898;Marker
chr18;85246590;Marker
chr18;29240196;Marker
chr19;27159422;Marker
chr19;24104376;Marker
chr20;55458085;Marker
chr20;40623755;Marker
chrX;7507666;Marker
chrX;81529660;Marker
chrY;689061;Marker
chrY;3062547;Marker
