chr;start;end
chr1;218760200;218763074.491271
chr1;200135904;200151442.564098
chr1;75479292;75481903.180226
chr1;94439245;94449563.2833593
chr1;54268107;54280018.6839345
chr1;48311668;48315817.5230886
chr1;104832886;104834929.903384
chr1;159634582;159642797.103565
chr1;167736000;167750992.660159
chr1;220043101;220044765.692055
chr1;189745317;189751397.973795
chr1;127492494;127497848.781168
chr1;210202125;210206071.341248
chr1;224513074;224528665.56605
chr1;243450157;243462320.99705
chr1;242592293;242596764.306698
chr1;419287;423514.915935972
chr1;171553950;171556700.651036
chr1;46130634;46142214.8321084
chr1;189219130;189221598.824281
chr1;67289997;67294534.3092628
chr1;244359523;244375136.671331
chr1;217525382;217536351.649393
chr1;197051064;197062446.416523
chr1;82262183;82272045.2077221
chr1;24722682;24728643.6407214
chr1;113855324;113862820.214112
chr1;206177113;206186443.663453
chr1;20247691;20261239.8725205
chr1;151999115;152014219.519133
chr1;94139420;94154869.7457066
chr1;173671772;173684396.444547
chr1;6305278;6309374.26976106
chr1;48119842;48130717.5091483
chr1;207635934;207639831.703265
chr1;229229944;229245374.984948
chr1;237934267;237942303.316041
chr1;127875028;127877990.655604
chr1;244998152;245000929.610583
chr1;204119977;204122341.809692
chr1;57683983;57686321.3370727
chr1;34846662;34851411.3873487
chr1;235198524;235208515.946954
chr1;40286191;40301590.3615961
chr1;153715032;153722466.162642
chr1;148734945;148737552.838151
chr1;225452329;225463717.954175
chr1;8022924;8033338.74551928
chr1;92122919;92129367.2540889
chr1;43868628;43871323.9950478
chr1;144081987;144095972.83744
chr1;52483054;52484898.1037351
chr1;48382582;48395152.066073
chr1;86553563;86558359.2327242
chr1;155142850;155144438.499319
chr1;184143238;184157327.311473
chr1;197647716;197653257.957668
chr1;202956471;202972200.447646
chr1;121613992;121626420.958777
chr1;157597600;157610994.07873
chr1;162846416;162859330.799484
chr1;184663253;184676829.157755
chr1;37264917;37274570.6502526
chr1;51740070;51747560.4042545
chr1;154183397;154192652.912454
chr1;154516946;154521905.128626
chr1;100697062;100705948.811625
chr1;183212810;183217144.224385
chr1;131820358;131829390.264592
chr1;154120716;154130830.049485
chr1;124645713;124651635.209336
chr1;172316957;172323880.399736
chr1;196045999;196048221.470627
chr1;155745857;155749291.417424
chr1;63799799;63805769.1839362
chr1;9796456;9805525.97930543
chr1;35063716;35067303.704603
chr1;30799566;30802390.0375187
chr1;114911570;114917277.240006
chr1;191410105;191417592.68881
chr1;12689199;12699694.4194195
chr1;13976523;13991871.6037213
chr1;46554423;46560763.7114181
chr1;152370425;152371313.801537
chr1;151032270;151036149.744049
chr1;12095556;12109958.7842934
chr1;205336172;205345466.383733
chr1;73560816;73573778.0563488
chr1;25253588;25262455.6913892
chr1;145889414;145892243.141621
chr1;179412652;179419783.214695
chr1;9771676;9781278.62963956
chr1;67257476;67270424.6277954
chr1;71741401;71750879.4441366
chr1;63600080;63613595.9205038
chr1;116251423;116265138.267967
chr1;85837072;85842282.8052645
chr1;245308829;245315422.534283
chr1;220234247;220240869.562096
chr1;81853447;81853641.8993183
chr1;1709676;1712926.83695392
chr1;2615138;2628210.9364293
chr1;201969346;201974927.339984
chr1;7253994;7257155.84391528
chr1;124291364;124300898.077493
chr1;137323645;137328281.755696
chr1;183719671;183722945.236951
chr1;87993742;87997358.7286028
chr1;236144100;236151516.312634
chr1;128572130;128581135.470129
chr1;45286867;45296837.6703239
chr1;80314055;80321194.1116975
chr1;206270593;206275700.733122
chr1;53925390;53925906.1128816
chr1;54141788;54148518.9711718
chr1;144615454;144618665.137787
chr1;168775605;168789396.81345
chr1;222437107;222446336.892991
chr1;118465056;118472113.831004
chr1;244308820;244317549.680869
chr1;147166239;147181629.709291
chr1;52646810;52654245.3407337
chr1;180378935;180391698.255332
chr1;69931912;69935969.3263807
chr1;67501800;67515375.546843
chr1;17984162;17991484.4323057
chr1;148916765;148924471.775771
chr1;9365098;9366493.44129118
chr1;60104664;60120349.000698
chr1;92369614;92384944.3213349
chr1;64882127;64897332.5025696
chr1;149788219;149794990.600057
chr1;48037994;48041952.9037482
chr1;3119534;3123111.73725155
chr1;1216782;1222981.0177319
chr1;157241443;157245053.807745
chr1;231155048;231170065.169822
chr1;146298383;146304132.260031
chr1;234901212;234905250.223885
chr1;112594298;112607602.14848
chr1;148330619;148337210.504223
chr1;166587858;166592965.110587
chr1;226485502;226493651.13705
chr1;77524748;77527830.6169727
chr1;89395200;89400805.3706789
chr1;167319379;167331376.251924
chr1;72000277;72003792.5774847
chr1;202764405;202780012.253008
chr1;90039895;90041254.5787579
chr1;218638517;218641339.37903
chr1;121289819;121292522.459482
chr1;97515873;97518900.1985263
chr1;142930912;142936229.645633
chr1;76737079;76750759.447786
chr1;3031984;3035762.1965805
chr1;5609214;5617547.35480837
chr1;231996169;232000921.881801
chr1;125050136;125054401.151928
chr1;144993774;145003788.587527
chr1;216642827;216649010.221291
chr1;207780165;207794483.751213
chr1;176159704;176174676.250879
chr1;9245422;9255546.03846736
chr1;1609193;1622127.45766856
chr1;27336874;27337624.3086433
chr1;195615881;195621289.012288
chr1;14183286;14188603.2815824
chr1;44592698;44607466.931458
chr1;234563114;234577883.042855
chr1;62310690;62316373.9120349
chr1;106767214;106781383.418501
chr1;99374376;99375463.227915
chr1;96421503;96428067.5229974
chr1;119031545;119046055.385045
chr1;180131543;180146965.334197
chr1;119694806;119708090.137868
chr1;241526027;241528012.098036
chr1;187646887;187659987.123312
chr1;78791812;78801953.3649464
chr1;159740973;159745362.283743
chr1;164755247;164769746.369154
chr1;246569885;246584229.409648
chr1;16641421;16652167.9070027
chr1;197606868;197611750.118855
chr1;23254773;23263200.3363536
chr1;240018893;240023241.589831
chr1;122588216;122601830.481087
chr1;162673287;162675451.043908
chr1;78503352;78510520.181769
chr1;21114364;21123417.9450374
chr1;86348241;86355719.9414234
chr1;129340186;129351125.05874
chr1;171152186;171159933.561805
chr1;88161156;88168713.5131938
chr1;128617496;128630356.560319
chr1;95236576;95249155.0235802
chr1;177695247;177707104.396274
chr1;36335748;36337202.2810836
chr1;148007657;148015881.678872
chr1;22328690;22342920.5769726
chr1;196755062;196769891.373282
chr1;66213696;66216933.2574195
chr1;183948981;183963161.894525
chr1;212854290;212860659.809707
chr1;72904596;72905489.8517869
chr1;235757590;235763176.36817
chr1;136439975;136443575.564022
chr1;183846877;183849782.290932
chr1;118404482;118419106.100993
chr1;246117768;246125995.611427
chr1;3626785;3638866.90055202
chr1;45228527;45243930.9669559
chr1;87797481;87801951.9339581
chr1;94415110;94430434.3190201
chr1;85869259;85883959.2531503
chr1;221414004;221418038.482142
chr1;56712785;56725514.0447036
chr1;23160812;23174332.8146372
chr1;41422059;41424929.7198267
chr1;125556799;125560347.622155
chr1;52360387;52361844.0509165
chr1;23489579;23502470.7215401
chr1;166176977;166189654.946859
chr1;177045631;177051543.283332
chr1;24309025;24309341.6349039
chr1;63130862;63135946.5221834
chr1;188534176;188543882.255921
chr1;27956576;27969965.2242655
chr1;238554671;238565320.982083
chr1;41792728;41800084.3593622
chr1;126593314;126594528.738528
chr1;133457885;133461104.530255
chr1;24794831;24808284.0381233
chr1;110684135;110698850.890543
chr1;1416080;1427812.21364847
chr1;208452912;208453385.896315
chr1;89920734;89922567.4853627
chr1;243588728;243593913.663647
chr1;27971824;27974376.2056057
chr1;195349064;195360143.197142
chr1;118730163;118731548.728232
chr1;108898187;108898568.244239
chr1;159163083;159165227.280273
chr1;229742399;229742997.708438
chr1;181300364;181305812.896267
chr1;93344100;93351031.4545634
chr1;221899857;221901136.828481
chr1;69688368;69696960.9484159
