chr;start;end;pval
chr1;103222882;104255110.82;9.89026620285586
chr1;242616738;245042905.38;8.49926461698487
chr1;36434909;36799258.09;5.15318312915042
chr1;5614582;5670727.82;7.00158099178225
chr1;99662396;100659019.96;8.95734317135066
chr1;2186351;2208214.51;0.891459558624774
chr1;161778307;163396090.07;6.55633889837191
chr1;264134926;266776275.26;0.43575698742643
chr1;35678512;36035297.12;0.551687728147954
chr1;10793473;10901407.73;8.335588616319
chr1;202986628;205016494.28;8.42524385079742
chr1;174657194;176403765.94;3.3840283122845
chr1;103957872;104997450.72;3.87798526557162
chr1;30450938;30755447.38;4.70604362897575
chr1;248751710;251239227.1;4.70379618229345
chr1;141212855;142624983.55;9.68480253126472
chr1;212046370;214166833.7;7.9864767100662
chr1;282999986;285829985.86;6.85530472779647
chr1;172631815;174358133.15;9.10886860918254
chr1;167348743;169022230.43;5.19085626583546
chr1;118761872;119949490.72;6.54797450639308
chr1;255664878;258221526.78;0.072656306438148
chr1;209432487;211526811.87;0.35165467299521
chr1;30469407;30774101.07;4.23423287924379
chr1;173567348;175303021.48;7.31457320740446
chr1;219589279;221785171.79;8.08406674768776
chr1;74740877;75488285.77;4.06550094485283
chr1;131339720;132653117.2;6.29420371493325
chr1;272921974;275651193.74;8.64454927621409
chr1;190833506;192741841.06;2.42722062626854
chr1;252981998;255511817.98;6.35840024100617
chr1;14985179;15135030.79;9.83812901424244
chr1;8774576;8862321.76;4.62417016737163
chr1;187468964;189343653.64;7.74218491977081
chr1;207807529;209885604.29;2.35849196789786
chr1;122703670;123930706.7;1.02591485716403
chr1;186461281;188325893.81;2.46958742849529
chr1;218172934;220354663.34;3.74334979103878
chr1;30787548;31095423.48;2.49969507101923
chr1;161122195;162733416.95;7.91874207789078
chr1;23055324;23285877.24;8.92981096170843
chr1;136545912;137911371.12;8.97461775457487
chr1;220130595;222331900.95;3.32837869413197
chr1;56984119;57553960.19;6.45104170078412
chr1;256426537;258990802.37;8.91854964895174
chr1;286250274;289112776.74;4.88364747492597
chr1;266661423;269328037.23;8.84190072538331
chr1;196361643;198325259.43;7.02699515270069
chr1;259097261;261688233.61;0.558568125125021
chr1;260399055;263003045.55;4.66623828047887
chr1;94455078;95399628.78;2.47671467950568
chr1;40733283;41140615.83;3.41722410172224
chr1;285360569;288214174.69;2.599151362665
chr1;267393086;270067016.86;3.98196406196803
chr1;7295013;7367963.13;9.38515782123432
chr1;185817164;187675335.64;5.71772039402276
chr1;177709261;179486353.61;5.51323980325833
chr1;249469261;251963953.61;3.90864631393924
chr1;155626867;157183135.67;9.11649661371484
chr1;125003516;126253551.16;1.00696925539523
chr1;210238242;212340624.42;1.32318256888539
chr1;247976938;250456707.38;1.68783399974927
chr1;166710005;168377105.05;0.610664437990636
chr1;235018057;237368237.57;4.19437517412007
chr1;201903423;203922457.23;8.57371691381559
chr1;108967973;110057652.73;3.74818770214915
chr1;51499056;52014046.56;2.10998183814809
chr1;265445698;268100154.98;5.58087299112231
chr1;95833967;96792306.67;6.82186041027308
chr1;169719426;171416620.26;4.52975088497624
chr1;56879785;57448582.85;6.9057106692344
chr1;97144372;98115815.72;4.3916231719777
chr1;287429933;290304232.33;0.180547607596964
chr1;25289647;25542543.47;7.89487656904385
chr1;222234528;224456873.28;1.39844413613901
chr1;165546685;167202151.85;9.8186881118454
chr1;45265073;45717723.73;2.0325183053501
chr1;95809614;96767710.14;5.7697603921406
chr1;209571355;211667068.55;8.84522191947326
chr1;151569355;153085048.55;5.45662855030969
chr1;125091669;126342585.69;4.1129852947779
chr1;73595219;74331171.19;1.06151629937813
chr1;161724162;163341403.62;6.97713423520327
chr1;22750914;22978423.14;7.61212072800845
chr1;197154095;199125635.95;8.89628107426688
chr1;93734776;94672123.76;7.59670640807599
chr1;78959030;79748620.3;1.98933134088293
chr1;287083131;289953962.31;3.60788913443685
chr1;119363597;120557232.97;6.34073101915419
chr1;136817584;138185759.84;0.581665977369994
chr1;213190659;215322565.59;8.09822899056599
chr1;1947932;1967411.32;1.02020977064967
chr1;228549531;230835026.31;3.14074954949319
chr1;140632270;142038592.7;4.3997674039565
chr1;39223156;39615387.56;4.64030523318797
chr1;174483510;176228345.1;2.39976512268186
chr1;233832830;236171158.3;3.06573398178443
chr1;141396624;142810590.24;7.36927958438173
chr1;169701041;171398051.41;3.19774530827999
chr1;275624073;278380313.73;5.68564172834158
chr1;271324059;274037299.59;9.89451512461528
chr1;160825307;162433560.07;7.81901573529467
chr1;78072961;78853690.61;2.76619552634656
chr1;145508653;146963739.53;9.84751813579351
chr1;144802884;146250912.84;0.460672511253506
chr1;77044331;77814774.31;3.71454816777259
chr1;250303188;252806219.88;7.34098854241893
chr1;143928362;145367645.62;7.08709299564362
chr1;240210288;242612390.88;2.72347003920004
chr1;113583619;114719455.19;4.75497590377927
chr1;251477974;253992753.74;4.61727261776105
chr1;54305652;54848708.52;6.75341188674793
chr1;112192166;113314087.66;9.01021952740848
chr1;38209674;38591770.74;4.1603448940441
chr1;135389745;136743642.45;4.02729795547202
chr1;231722484;234039708.84;6.66993447579444
chr1;57605601;58181657.01;9.36435683863238
chr1;257127681;259698957.81;3.4168066480197
chr1;267964750;270644397.5;9.17202248703688
chr1;249954404;252453948.04;9.73995763342828
chr1;166063626;167724262.26;8.40557928895578
chr1;186261559;188124174.59;4.61253908462822
chr1;234214095;236556235.95;4.80590907623991
chr1;7872739;7951466.39;0.0521803507581353
chr1;38471791;38856508.91;0.111972349695861
chr1;146870728;148339435.28;7.40384923294187
chr1;201373894;203387632.94;4.75919159594923
chr1;80053119;80853650.19;4.06537585426122
chr1;88162738;89044365.38;5.93365706736222
chr1;282639989;285466388.89;4.74291995400563
chr1;167449441;169123935.41;4.0638474537991
chr1;66697657;67364633.57;0.168925074394792
chr1;144591314;146037227.14;8.79975328454748
chr1;177083052;178853882.52;7.95878607779741
chr1;165498787;167153774.87;8.67575163953006
chr1;130371052;131674762.52;7.28255752939731
chr1;90085893;90986751.93;5.33224488375709
chr1;211443481;213557915.81;0.648623579181731
chr1;105649514;106706009.14;0.959947335068136
chr1;141119341;142530534.41;0.968599773477763
chr1;52096870;52617838.7;9.99361794209108
chr1;196380382;198344185.82;1.52457689633593
chr1;183374561;185208306.61;8.53740184102207
chr1;73764242;74501884.42;0.0174702540971339
chr1;256481161;259045972.61;2.03825615579262
chr1;70199811;70901809.11;0.649437867105007
chr1;156550847;158116355.47;8.77688669832423
chr1;207138229;209209611.29;3.84080776711926
chr1;285273317;288126050.17;8.10628241859376
chr1;122198573;123420558.73;0.902506867423654
chr1;29264384;29557027.84;2.78785533737391
chr1;121472908;122687637.08;2.26077680010349
chr1;144314626;145757772.26;8.40349733363837
chr1;52208003;52730083.03;2.77836355846375
chr1;108379238;109463030.38;4.19294101186097
chr1;8054705;8135252.05;2.88876027567312
chr1;243670681;246107387.81;9.44660179549828
chr1;37838879;38217267.79;1.63611912401393
chr1;252299715;254822712.15;6.80593458469957
chr1;128611164;129897275.64;5.90241110185161
chr1;77011592;77781707.92;2.5070747314021
chr1;60929400;61538694;9.39621606841683
chr1;206669617;208736313.17;5.96874249866232
chr1;160122815;161724043.15;8.0483481194824
chr1;283019552;285849747.52;9.33396595530212
chr1;19105533;19296588.33;4.91083964938298
chr1;275163026;277914656.26;3.45727374777198
chr1;132308140;133631221.4;2.19460479915142
chr1;272884764;275613611.64;3.43413525028154
chr1;232317196;234640367.96;7.09732735296711
chr1;41005965;41416024.65;0.575066618621349
chr1;39665718;40062375.18;6.02715967455879
chr1;189281080;191173890.8;5.99976932862774
chr1;264147063;266788533.63;1.08192122075707
chr1;207051407;209121921.07;1.8086999701336
chr1;169600045;171296045.45;4.27741695428267
chr1;109898515;110997500.15;2.26183717139065
chr1;63020864;63651072.64;1.32422635564581
chr1;124820500;126068705;8.67786245886236
chr1;149331542;150824857.42;6.71179053373635
chr1;27329744;27603041.44;3.49175030132756
chr1;2003859;2023897.59;4.8635436152108
chr1;283224335;286056578.35;0.254595507867634
chr1;281419203;284233395.03;1.95968099171296
chr1;225358088;227611668.88;7.73560591042042
chr1;151129721;152641018.21;5.38850056007505
chr1;274977164;277726935.64;9.36064660083503
chr1;230763005;233070635.05;2.12267703842372
chr1;259886342;262485205.42;8.73103962978348
chr1;180524887;182330135.87;5.95979199046269
chr1;274756100;277503661;4.86548050539568
chr1;203012321;205042444.21;1.35594385908917
chr1;280628235;283434517.35;1.85395053355023
chr1;56185499;56747353.99;7.44696672074497
chr1;39558020;39953600.2;0.238548570778221
chr1;277167306;279938979.06;0.486459555104375
chr1;87283089;88155919.89;1.14065407775342
chr1;44169540;44611235.4;0.172033146955073
chr1;93313994;94247133.94;3.34622360533103
chr1;89596609;90492575.09;8.86239961953834
chr1;110957594;112067169.94;1.6885784920305
chr1;21667649;21884325.49;4.3575292523019
chr1;110100691;111201697.91;2.49648854369298
chr1;200357082;202360652.82;2.52326846122742
chr1;173471317;175206030.17;0.171725815162063
chr1;52494861;53019809.61;3.36453618481755
chr1;115122477;116273701.77;5.68395259790123
chr1;101382301;102396124.01;4.39148046309128
chr1;166051958;167712477.58;2.35209015430883
chr1;249532668;252027994.68;9.09579851198941
chr1;138443232;139827664.32;8.16172688268125
chr1;172939155;174668546.55;8.84021337144077
chr1;220085217;222286069.17;8.09286961564794
chr1;46168729;46630416.29;9.79974104557186
chr1;179343799;181137236.99;8.89553788816556
chr1;245643224;248099656.24;7.5074960058555
chr1;189704287;191601329.87;4.76644134847447
chr1;111081080;112191890.8;1.53973593376577
chr1;186597479;188463453.79;4.15339770261198
chr1;56351182;56914693.82;6.27892118180171
chr1;186708982;188576071.82;6.34316937532276
chr1;97859432;98838026.32;1.80233721621335
chr1;50096068;50597028.68;9.92624314501882
chr1;225243884;227496322.84;6.53527443995699
chr1;83237710;84070087.1;6.91137608839199
chr1;110201894;111303912.94;2.10921499179676
chr1;34520116;34865317.16;6.04523753514513
chr1;276844583;279613028.83;8.5899961204268
chr1;179342428;181135852.28;3.43812324106693
chr1;165022989;166673218.89;6.43395840888843
chr1;69996582;70696547.82;7.20879814354703
chr1;281970445;284790149.45;5.83320905221626
chr1;148351159;149834670.59;9.51027036411688
chr1;163664146;165300787.46;1.63516722852364
chr1;250665433;253172087.33;9.49360409053043
chr1;185098099;186949079.99;9.3128478503786
chr1;244902095;247351115.95;9.4718678900972
chr1;209775208;211872960.08;3.17218852695078
chr1;260419033;263023223.33;0.660070655867457
chr1;270729589;273436884.89;4.92942059645429
chr1;255900290;258459292.9;7.48689600965008
chr1;129826496;131124760.96;7.46506282594055
chr1;77281845;78054663.45;1.67292912723497
chr1;129084054;130374894.54;4.24077815376222
chr1;138979225;140369017.25;5.75637956149876
chr1;105624079;106680319.79;2.68629685742781
chr1;263466515;266101180.15;2.96912064310163
chr1;202097846;204118824.46;4.74966242676601
chr1;143904326;145343369.26;7.60117998113856
chr1;34581633;34927449.33;1.93232817109674
chr1;59202987;59795016.87;1.31618064362556
chr1;88014021;88894161.21;8.36668513948098
chr1;66492970;67157899.7;8.48371680825949
chr1;94713494;95660628.94;9.50594044290483
chr1;187195765;189067722.65;6.64077689405531
chr1;100719967;101727166.67;2.90178272174671
chr1;286896759;289765726.59;4.04899660963565
chr1;77177059;77948829.59;7.75595346232876
chr1;172646034;174372494.34;2.18424667837098
chr1;245966219;248425881.19;1.02704791119322
chr1;123477945;124712724.45;8.92545336857438
chr1;130873777;132182514.77;7.34226602129638
chr1;156475346;158040099.46;9.21638230560347
chr1;129227576;130519851.76;4.82131042750552
chr1;43175467;43607221.67;3.12997282948345
chr1;94696493;95643457.93;9.22485746443272
chr1;110422192;111526413.92;8.81105140317231
chr1;212464231;214588873.31;8.23160583851859
chr1;43381612;43815428.12;3.78580351825804
chr1;87287232;88160104.32;1.2080315197818
chr1;13187140;13319011.4;9.8279757797718
chr1;101190312;102202215.12;5.23248510900885
chr1;220002994;222203023.94;2.52809990430251
chr1;156591004;158156914.04;7.37789305625483
chr1;165254078;166906618.78;5.46337642939761
chr1;91643649;92560085.49;6.74492884427309
chr1;149654881;151151429.81;5.5857932404615
chr1;136405900;137769959;4.34869447723031
chr1;122101777;123322794.77;0.306384249124676
chr1;109711303;110808416.03;4.53463297337294
chr1;249198641;251690627.41;0.605337161105126
chr1;224113724;226354861.24;4.00789127452299
chr1;270361682;273065298.82;3.52107848739252
chr1;274038449;276778833.49;0.365250350441784
chr1;185812778;187670905.78;9.88944871583953
chr1;132192070;133513990.7;5.30009611975402
chr1;256682726;259249553.26;4.49353623436764
chr1;221396599;223610564.99;6.74895912408829
chr1;189470755;191365462.55;6.06309545226395
chr1;263555442;266190996.42;2.57841949583963
chr1;166093346;167754279.46;6.49479578016326
chr1;282838218;285666600.18;9.43433140870184
chr1;179663282;181459914.82;0.419374471530318
chr1;173882332;175621155.32;6.14490237552673
chr1;121879954;123098753.54;2.51646397868171
chr1;142078038;143498818.38;7.66852770699188
chr1;47933283;48412615.83;3.7506482261233
chr1;194019453;195959647.53;3.2469612499699
chr1;222107400;224328474;7.45670262956992
chr1;289707373;292604446.73;6.59542180597782
chr1;165913018;167572148.18;1.87960579525679
chr1;33280878;33613686.78;0.829182919114828
chr1;83539018;84374408.18;5.20004889229313
chr1;288633333;291519666.33;8.80067743360996
chr1;167355216;169028768.16;6.87091612024233
chr1;279416817;282210985.17;0.351901487447321
chr1;203405419;205439473.19;5.59060767991468
chr1;102827294;103855566.94;8.48793552489951
chr1;40852541;41261066.41;8.53210104396567
chr1;172936274;174665636.74;5.61908740317449
chr1;236885521;239254376.21;2.99532292177901
chr1;125002540;126252565.4;9.72764547681436
chr1;18009123;18189214.23;6.78689106134698
chr1;122551649;123777165.49;1.66892160195857
chr1;106874639;107943385.39;9.06091019744053
chr1;187769255;189646947.55;9.42033358616754
chr1;128990605;130280511.05;7.31045356951654
chr1;60415247;61019399.47;2.2179806092754
chr1;45673917;46130656.17;2.04164938535541
chr1;281051107;283861618.07;9.9219886190258
chr1;19242340;19434763.4;3.44107395038009
chr1;81676391;82493154.91;2.66601249109954
chr1;57624995;58201244.95;3.66022474365309
chr1;39439217;39833609.17;5.14342407230288
chr1;221055659;223266215.59;2.9703336302191
chr1;92750482;93677986.82;6.02945776889101
chr1;190559052;192464642.52;8.54055338306353
chr1;239098536;241489521.36;2.58007633499801
chr1;275526122;278281383.22;3.12483893008903
chr1;57999911;58579910.11;2.55196083104238
chr1;110985451;112095305.51;8.94001968437806
chr1;131606401;132922465.01;1.33475756738335
chr1;187221174;189093385.74;2.05270279198885
chr1;99394962;100388911.62;4.81758521636948
chr1;19302961;19495990.61;2.5981543189846
chr1;164476053;166120813.53;9.13302989443764
chr1;211055472;213166026.72;0.153787035960704
chr1;96904217;97873259.17;6.81699215900153
chr1;97796138;98774099.38;6.04086801409721
chr1;219748380;221945863.8;5.93165262369439
chr1;17351887;17525405.87;7.83006489509717
chr1;74831761;75580078.61;1.7253009788692
chr1;71450123;72164624.23;9.72803248791024
chr1;15586058;15741918.58;9.74890607409179
chr1;15918200;16077382;3.57199787162244
chr1;105237548;106289923.48;4.36427842825651
chr1;118274748;119457495.48;8.98265965050086
chr1;162958513;164588098.13;6.7410414526239
chr1;154967162;156516833.62;2.75959067279473
chr1;41581834;41997652.34;5.69136107573286
chr1;200689151;202696042.51;4.4234681641683
chr1;190453340;192357873.4;6.48205290781334
chr1;23695703;23932660.03;2.0758856786415
chr1;83591858;84427776.58;4.60654035676271
chr1;179519025;181314215.25;3.28296424122527
chr1;234884611;237233457.11;7.87894297158346
chr1;283370278;286203980.78;5.28048367705196
chr1;203588911;205624800.11;2.02023673569784
chr1;60940988;61550397.88;5.9581602900289
chr1;19058836;19249424.36;5.97871215082705
chr1;245345887;247799345.87;7.76725247036666
chr1;178405543;180189598.43;0.730722069274634
chr1;63752222;64389744.22;7.64929177472368
chr1;108863642;109952278.42;1.38314360752702
chr1;157034751;158605098.51;1.83742076857016
chr1;216614595;218780740.95;8.55950738769025
chr1;264975733;267625490.33;7.8281641821377
chr1;267010637;269680743.37;7.83132116310298
chr1;14910494;15059598.94;1.95665074046701
chr1;5740402;5797806.02;0.621757693588734
chr1;87283466;88156300.66;3.68506767088547
chr1;115754411;116911955.11;1.2404485559091
chr1;44177918;44619697.18;7.49593850690872
chr1;63228799;63861086.99;6.41773425741121
chr1;247077960;249548739.6;0.970090085174888
chr1;235597980;237953959.8;4.1084893909283
chr1;142087987;143508866.87;6.45914430962876
chr1;167033889;168704227.89;0.168869369663298
chr1;145201648;146653664.48;2.38784244284034
chr1;121655440;122871994.4;8.16901601618156
chr1;77406225;78180287.25;4.63659978704527
chr1;31478325;31793108.25;7.93289313092828
chr1;275534144;278289485.44;4.9171926244162
chr1;23241706;23474123.06;9.70476179150864
chr1;47888884;48367772.84;0.835279296152294
chr1;253016290;255546452.9;9.09162416122854
chr1;142596497;144022461.97;6.8979946221225
chr1;182958297;184787879.97;4.1493899631314
chr1;170327011;172030281.11;3.06694205617532
chr1;10120483;10221687.83;5.42705825529993
chr1;194106645;196047711.45;6.67155798058957
chr1;177745156;179522607.56;8.18609627895057
chr1;195318347;197271530.47;3.58157929033041
chr1;186980290;188850092.9;2.53792319912463
chr1;72032666;72752992.66;2.04851603368297
chr1;188346597;190230062.97;0.941134844906628
chr1;64806194;65454255.94;6.36792085366324
chr1;256441916;259006335.16;3.95111328456551
chr1;2945479;2974933.79;9.64114276925102
chr1;252022656;254542882.56;8.86342856334522
chr1;288923958;291813197.58;6.07317333109677
chr1;13991986;14131905.86;0.877876242157072
chr1;240105482;242506536.82;3.81193780573085
chr1;178825542;180613797.42;7.86500158952549
chr1;27271801;27544519.01;9.92834722390398
chr1;108652464;109738988.64;6.6758151142858
chr1;79473796;80268533.96;4.33017013361678
chr1;207220000;209292200;6.5081970882602
chr1;255890117;258449018.17;6.95155409164727
chr1;217827308;220005581.08;8.13456872012466
chr1;99606413;100602477.13;8.33011909155175
chr1;49235970;49728329.7;0.702946663368493
chr1;173255240;174987792.4;0.599736499134451
chr1;268285675;270968531.75;1.5660384343937
chr1;212013788;214133925.88;9.50950510101393
chr1;56272852;56835580.52;6.77198602817953
chr1;37139850;37511248.5;9.58040292840451
chr1;262657808;265284386.08;0.577011597342789
chr1;199589871;201585769.71;5.57876351056621
chr1;276222731;278984958.31;7.07285971846432
chr1;180412221;182216343.21;8.34237305214629
chr1;29002444;29292468.44;8.06131015531719
chr1;229632596;231928921.96;4.12857343209907
chr1;28379885;28663683.85;7.32136328704655
chr1;65162041;65813661.41;3.33288590656593
chr1;213974103;216113844.03;4.92900698678568
chr1;13153875;13285413.75;3.42330612009391
chr1;86115067;86976217.67;6.38605137821287
chr1;288207567;291089642.67;7.94426459120587
chr1;44052080;44492600.8;0.692310058511794
chr1;117762958;118940587.58;7.42814525030553
chr1;26839309;27107702.09;2.94411013834178
chr1;243931647;246370963.47;6.12568926298991
chr1;254960588;257510193.88;6.45732843084261
chr1;192743813;194671251.13;2.87606974132359
chr1;162599158;164225149.58;8.76563641242683
chr1;128339830;129623228.3;9.63012871099636
chr1;161209783;162821880.83;0.208331844769418
chr1;244168868;246610556.68;2.67697824165225
chr1;197889819;199868717.19;2.52823166782036
chr1;176430376;178194679.76;5.14216681942344
chr1;275249751;278002248.51;1.79797403048724
chr1;24680470;24927274.7;7.16205532895401
chr1;121482808;122697636.08;8.45569468569011
chr1;24326227;24569489.27;6.49092515930533
chr1;244159434;246601028.34;7.97305167652667
chr1;139589467;140985361.67;1.72835918376222
chr1;224519552;226764747.52;6.35536960558966
chr1;47876765;48355532.65;9.76393592078239
chr1;241589357;244005250.57;0.668454575352371
chr1;218234492;220416836.92;0.133862923830748
chr1;70204230;70906272.3;3.30015144543722
chr1;13104532;13235577.32;0.683380395639688
chr1;228606758;230892825.58;7.59244390530512
chr1;118171358;119353071.58;7.50963369151577
chr1;11896750;12015717.5;9.48530458146706
chr1;117723084;118900314.84;1.53423602459952
chr1;152376835;153900603.35;2.9389517288655
chr1;214106308;216247371.08;1.4708035858348
chr1;150167614;151669290.14;9.40691101131961
chr1;158781624;160369440.24;5.45197843573988
chr1;23962109;24201730.09;8.18836854305118
chr1;46737854;47205232.54;3.10349161503837
chr1;261074447;263685191.47;6.39738576021045
chr1;166966141;168635802.41;6.0587903787382
chr1;27216577;27488742.77;0.607271622866392
chr1;215843110;218001541.1;6.47025345824659
chr1;200503567;202508602.67;8.77123194746673
chr1;111217641;112329817.41;1.52703175554052
chr1;10257236;10359808.36;8.44262580154464
chr1;206013344;208073477.44;6.25064531806856
chr1;17166437;17338101.37;2.4437924916856
chr1;153067611;154598287.11;7.60940117295831
chr1;9860539;9959144.39;1.43500400241464
chr1;204428063;206472343.63;3.84457227541134
chr1;225890958;228149867.58;0.369780932087451
chr1;194412201;196356323.01;2.24047652678564
chr1;104181152;105222963.52;5.7509558275342
chr1;192469689;194394385.89;5.28556626988575
chr1;59176689;59768455.89;6.30474569974467
chr1;47608809;48084897.09;9.51709646964446
chr1;198904211;200893253.11;0.51524830982089
chr1;65603858;66259896.58;1.48533973377198
chr1;180033543;181833878.43;0.522317758295685
chr1;229911636;232210752.36;6.95698509458453
chr1;261055721;263666278.21;9.83912822324783
chr1;85643372;86499805.72;0.402769292704761
chr1;18376056;18559816.56;5.1915240008384
chr1;57450856;58025364.56;6.26682995120063
chr1;88131406;89012720.06;8.00634240498766
chr1;52208268;52730350.68;7.87044258089736
chr1;67274043;67946783.43;2.89831752423197
chr1;32697150;33024121.5;0.229344328399748
chr1;267384987;270058836.87;4.02699175523594
chr1;15312263;15465385.63;8.27664218842983
chr1;206176371;208238134.71;4.79779834859073
chr1;224616602;226862768.02;8.17227219697088
chr1;207443756;209518193.56;0.708954893052578
chr1;239345648;241739104.48;7.04802413238213
chr1;61224414;61836658.14;2.634215306025
chr1;133222578;134554803.78;7.06533783581108
chr1;36780951;37148760.51;4.60174607345834
chr1;268388368;271072251.68;0.543709760531783
chr1;120467298;121671970.98;2.8197383438237
chr1;105675739;106732496.39;3.09885711874813
chr1;240433421;242837755.21;6.27538135740906
chr1;79662938;80459567.38;2.67147558508441
chr1;33621434;33957648.34;3.72738631442189
chr1;54256466;54799030.66;0.976074384525418
chr1;51177018;51688788.18;0.181594097521156
chr1;42814011;43242151.11;3.03483994677663
chr1;211609724;213725821.24;5.71163005195558
chr1;52368293;52891975.93;1.76295630866662
chr1;257902836;260481864.36;4.51094180811197
chr1;189910283;191809385.83;8.85222933953628
chr1;165375216;167028968.16;4.56145583884791
chr1;39372558;39766283.58;8.73670707456768
chr1;16832546;17000871.46;3.50554518634453
chr1;271841010;274559420.1;4.90510307252407
chr1;277736530;280513895.3;6.2706972216256
chr1;139723440;141120674.4;4.8682406055741
chr1;281984936;284804785.36;5.95544052775949
chr1;87108566;87979651.66;7.84976456314325
chr1;88211881;89093999.81;8.71624959167093
chr1;225505844;227760902.44;8.17636321065947
chr1;233411877;235745995.77;5.67412959644571
chr1;225464184;227718825.84;3.35414328612387
chr1;44504089;44949129.89;0.58035738999024
chr1;237057236;239427808.36;2.77114985277876
chr1;159104436;160695480.36;9.15924900677055
chr1;256404586;258968631.86;5.51849554060027
chr1;203389048;205422938.48;2.42324032587931
chr1;139186049;140577909.49;6.87147333985195
chr1;270101379;272802392.79;1.65359529433772
chr1;230107092;232408162.92;8.17231524502859
chr1;18663078;18849708.78;0.837346506305039
chr1;209379390;211473183.9;0.908838179893792
chr1;244847676;247296152.76;7.88617425598204
chr1;144367245;145810917.45;5.8545812824741
chr1;49410347;49904450.47;2.2990895435214
chr1;169655402;171351956.02;7.6280943187885
chr1;205964653;208024299.53;5.6502530653961
chr1;69679506;70376301.06;6.52423069812357
chr1;172532390;174257713.9;6.95682748919353
chr1;174533663;176278999.63;8.37922092294321
chr1;197880796;199859603.96;2.9872632981278
