chr;start;end
chr1;255103398;255110738.565702
chr1;30482207;30491757.2606156
chr1;28182979;28193237.4396236
chr1;95913604;95916243.3701578
chr1;9056016;9071838.21934418
chr1;66156537;66158719.8628944
chr1;35145955;35150993.3137793
chr1;83800507;83805375.0855617
chr1;88451361;88462737.0901554
chr1;53972562;53975481.9925864
chr1;7629710;7634859.95229077
chr1;240284632;240299565.161478
chr1;220336084;220340908.897322
chr1;62656923;62665206.2567738
chr1;115471347;115476312.42593
chr1;52064801;52077555.3309988
chr1;265148799;265157519.318303
chr1;180965451;180970582.64373
chr1;92467183;92469476.4434692
chr1;167259969;167270579.585732
chr1;47591432;47591526.0095443
chr1;192193999;192197779.239247
chr1;213045411;213046604.787839
chr1;252330236;252346336.166844
chr1;121110996;121123507.807489
chr1;285745697;285760185.919857
chr1;84516305;84523801.6609843
chr1;88583810;88592066.332868
chr1;251383605;251397034.727801
chr1;179406800;179413700.817685
chr1;128780131;128796690.554098
chr1;36148924;36151725.4267147
chr1;166889937;166898599.970779
chr1;262679385;262692942.374401
chr1;208496319;208503673.289118
chr1;83571285;83572488.2992322
chr1;139451163;139467203.956933
chr1;127789606;127797502.018223
chr1;71944866;71954334.414048
chr1;267377072;267390843.763678
chr1;150607293;150616931.317942
chr1;190996601;190999204.822679
chr1;210167006;210176940.664015
chr1;191157242;191164311.58997
chr1;246053596;246062378.224446
chr1;62165503;62179649.5441113
chr1;224903887;224911674.376632
chr1;249201598;249215787.746993
chr1;53670114;53676816.833843
chr1;53406703;53418952.688797
chr1;102608891;102610129.826939
chr1;196265259;196269747.512062
chr1;34274487;34290814.9745927
chr1;262519818;262521719.782537
chr1;280014739;280016953.168197
chr1;3780101;3781041.94576025
chr1;59425045;59436668.4069894
chr1;94073962;94087237.2125358
chr1;288451088;288455674.380955
chr1;226263504;226267404.965447
chr1;45548715;45553609.0258146
chr1;119762578;119771655.916459
chr1;288769290;288781575.455519
chr1;131795227;131796459.216712
chr1;57479673;57483787.3213063
chr1;48641042;48647909.8948389
chr1;136800792;136807811.627684
chr1;148527909;148544141.949552
chr1;196677527;196688676.040908
chr1;208321331;208325829.222572
chr1;176383466;176395190.840551
chr1;77989741;77995680.690923
chr1;59411477;59412032.482973
chr1;171584761;171595275.458451
chr1;268414782;268426308.42504
chr1;79748453;79757350.5691501
chr1;161640474;161656908.834199
chr1;31273141;31282906.1177229
chr1;278062096;278070462.787309
chr1;61762990;61765327.6243207
chr1;257666887;257671890.3608
chr1;147925206;147936840.533174
