chr;start;end;pval
chr2L;23460421;23695025.21;4.81265409616754
chr2L;23492509;23727434.09;2.04942148411646
chr2L;14152367;14293890.67;2.88545270217583
chr2L;12411608;12535724.08;4.96368643362075
chr2L;14466289;14610951.89;9.9091073544696
chr2L;20063806;20264444.06;9.70470735803246
chr2L;20445662;20650118.62;5.45192311750725
chr2L;15409708;15563805.08;4.19416963588446
chr2L;10945548;11055003.48;2.42092053871602
chr2L;17850419;18028923.19;2.82050837995484
chr2L;13217616;13349792.16;0.0341635080985725
chr2L;356408;359972.08;8.36196467047557
chr2L;16813143;16981274.43;6.31558779394254
chr2L;10334642;10437988.42;3.90241703251377
chr2L;14012991;14153120.91;0.595534185413271
chr2L;16537587;16702962.87;4.05585477361456
chr2L;12177309;12299082.09;2.13529034284875
chr2L;6292558;6355483.58;8.52477278094739
chr2L;2616497;2642661.97;5.9900176548399
chr2L;14827760;14976037.6;9.73894387949258
chr2L;10951118;11060629.18;9.65838169911876
chr2L;287759;290636.59;3.26584233902395
chr2L;11226768;11339035.68;9.6717822458595
chr2L;7983921;8063760.21;5.03058338072151
chr2L;16826145;16994406.45;3.00355990882963
chr2L;18356363;18539926.63;3.1794306403026
chr2L;16447130;16611601.3;9.43365652579814
chr2L;17678457;17855241.57;0.648214314132929
chr2L;94518;95463.18;1.98355572531
chr2L;18964256;19153898.56;4.8182061733678
chr2L;9896576;9995541.76;7.15985385002568
chr2L;8620498;8706702.98;5.84083172259852
chr2L;15766290;15923952.9;0.531079003121704
chr2L;13735974;13873333.74;7.72666591452435
chr2L;19261991;19454610.91;4.28596289362758
chr2L;4672852;4719580.52;6.09176123747602
chr2L;1841106;1859517.06;4.70566490432248
chr2L;4892679;4941605.79;4.16601291391999
chr2L;8320575;8403780.75;1.30999783286825
chr2L;18848646;19037132.46;2.42243518587202
chr2L;22829258;23057550.58;5.45074973721057
chr2L;4176335;4218098.35;1.03515563998371
chr2L;7167619;7239295.19;2.37481436692178
chr2L;21623619;21839855.19;4.11094574723393
chr2L;6311120;6374231.2;5.0363955157809
chr2L;5075878;5126636.78;6.01301971357316
chr2L;17245646;17418102.46;9.61975461803377
chr2L;8347084;8430554.84;8.55898255249485
chr2L;23331275;23564587.75;8.68727729190141
