chr;start;end
chr1;227590686;227604346.594418
chr1;202092309;202102410.424381
chr1;239988507;240000977.398153
chr1;195564553;195572273.891021
chr1;190610086;190621395.145383
chr1;26886617;26894580.0516196
chr1;52099265;52106572.8064069
chr1;26140657;26156000.2076856
chr1;171654103;171660109.804802
chr1;91168635;91177845.0872018
chr1;168364167;168371194.675116
chr1;49548688;49551371.8233867
chr1;110417439;110422739.441371
chr1;96454264;96463985.9275741
chr1;3669908;3674587.04303249
chr1;224915832;224917818.177673
chr1;146830648;146842189.870911
chr1;66252285;66261506.3587001
chr1;72913999;72922049.0743807
chr1;162216462;162222833.487754
chr1;205340163;205344309.629041
chr1;115590080;115591140.427923
chr1;167508844;167524342.323066
chr1;57841905;57854317.766452
chr1;248241779;248252983.206807
chr1;190709085;190724651.193564
chr1;119715830;119729702.425085
chr1;225885577;225888500.191284
chr1;31357807;31364253.4051714
chr1;90284078;90295950.7003862
chr1;195458357;195472866.369587
chr1;242535016;242546294.762212
chr1;199515116;199527247.919013
chr1;223763465;223763536.685718
chr1;233753646;233754258.878326
chr1;206903897;206913161.826549
chr1;231998545;232006444.805857
chr1;58284738;58293387.2449426
chr1;220845547;220853087.077867
chr1;148547010;148561097.413655
chr1;200026015;200027298.829343
chr1;121404865;121408501.749189
chr1;231633404;231641776.178867
chr1;97286984;97293115.9798232
chr1;200162686;200171775.858521
chr1;22573881;22584176.2346323
chr1;220442444;220456383.786991
chr1;68067138;68081216.8687942
chr1;162021922;162029608.494849
chr1;30203653;30208976.2183918
chr1;237457027;237465033.300675
chr1;238419400;238431982.851963
chr1;198782708;198787690.978797
chr1;116932377;116933173.121225
chr1;46032561;46047475.9493532
chr1;83015186;83029756.9879267
chr1;106268840;106275440.340763
chr1;205527323;205540175.252606
chr1;200754656;200761023.547199
chr1;153534468;153538683.954406
chr1;239664457;239674947.527681
chr1;98829114;98834980.0261538
chr1;182029845;182037650.932523
chr1;116518916;116525337.768263
chr1;80402830;80408587.3098622
chr1;1976184;1984970.41696287
chr1;13737536;13750344.225097
chr1;69476402;69488617.2830202
chr1;246464423;246473609.619109
chr1;171106824;171110987.062124
chr1;56405382;56406094.6528929
chr1;202283416;202293469.587306
chr1;187996543;187998370.861952
chr1;196278330;196291902.076769
chr1;208308818;208312265.703119
chr1;153931864;153933696.969379
chr1;64393978;64394506.8092293
chr1;151166161;151174465.736791
chr1;151449784;151453788.325737
chr1;102740711;102741715.266614
chr1;207978770;207990171.791816
chr1;58524000;58528876.0051648
chr1;49254414;49255424.8772356
