chr;start;end
chrI;211414;211675.514620113
chrI;23022;23067.9882263997
chrI;20087;20167.0092809734
chrI;167333;167495.091841957
chrI;101766;102025.400474917
chrI;57007;57433.4986983903
chrI;155136;155166.310895414
chrI;183265;183615.948458589
chrI;9271;9405.79924235401
chrI;69305;69332.6319742468
chrI;95397;95614.2426542118
chrI;176110;176580.73274379
chrI;223800;223920.31450596
chrI;225552;225592.358411618
chrI;151663;151945.00358822
chrI;155368;155746.257808114
chrI;224290;224590.957146395
chrI;93124;93274.5172559835
chrI;222736;222824.179680113
chrI;157435;157536.811197453
chrI;75499;75738.9471232301
chrI;167548;167777.175642388
chrI;144187;144413.678974252
chrI;227406;227690.446166065
chrI;30061;30479.1944166124
chrI;165689;166040.609498884
chrI;130096;130460.794118663
chrI;57142;57182.5126204969
chrI;35354;35454.6859731089
chrI;196782;196877.420141901
chrI;198425;198581.928686149
chrI;12027;12356.1299213282
chrI;196555;196622.286032829
chrI;16456;16620.5828452714
chrI;186952;187163.299355976
chrI;124910;125141.746980647
chrI;185423;185787.852541132
chrI;14943;15064.5166815273
chrI;15760;16000.4625763299
chrI;165417;165486.84620466
chrI;151767;151908.201894101
chrI;17083;17542.6245377261
chrI;156655;157048.93240846
chrI;40991;41320.4047297604
chrI;187212;187457.526694612
chrI;81956;82114.2136361717
chrI;137004;137039.167448827
chrI;11190;11357.4619264205
chrI;96544;96546.3418614729
chrI;205832;205894.747639242
chrI;218687;219021.620977131
chrI;185468;185765.046783127
chrI;107491;107761.745102279
chrI;169864;169864.995694329
chrI;140583;141050.077400619
chrI;18733;19046.8992223586
chrI;94525;94885.8959130668
chrI;183630;183923.306834722
chrI;224816;225152.707619208
chrI;228813;229016.149204318
chrI;7853;8249.11024860619
chrI;43204;43230.4658802481
chrI;69996;70298.6650442769
chrI;166638;167100.97258643
chrI;187385;187807.86023596
chrI;87830;88018.7650793972
chrI;41929;42043.2034124563
chrI;57477;57828.4810290399
chrI;83058;83495.4939118798
chrI;125501;125519.510772268
chrI;160812;160922.522620485
chrI;10784;11221.4163280174
chrI;81556;81714.0502560863
chrI;70784;71004.5477358201
chrI;101442;101464.739815617
chrI;175767;175807.84669395
chrI;67472;67617.8469165537
chrI;229983;230275.891471946
chrI;162854;162888.897486126
chrI;102164;102491.028830649
chrI;116769;117146.933803271
chrI;79683;79779.5197743391
chrI;80667;81084.5576982521
chrI;190458;190545.735977253
chrI;178889;178979.771901622
chrI;96521;96600.65558497
chrI;76842;76986.3478433463
chrI;34078;34385.3231065001
chrI;136195;136494.220953449
