chr;start;end
chr3;43620017;44620030
chr1;102019264;103019314
chr20;49423594;50423617
chr4;144600617;145600612
chr2;111490805;112490831
chr2;174474998;175474963
chr2;4627465;5627482
chr2;88094512;89094521
chr1;41488327;42488276
chr13;58478759;59478748
chr6;140034905;141034891
chr6_cox_hap2;2168925;3168939
chrX;72010994;73010975
chr3;26341156;27341140
chr5;162141189;163141207
chrX;30211856;31211886
chr4;25125140;26125146
chr19;7068709;8068694
chr18;60815267;61815270
chr19;5838732;6838749
chr9;900361;1900362
chr4;47383385;48383376
chr4;81423133;82423156
chr14;16459343;17459357
chr11;10191637;11191630
chr14;77605233;78605242
chr14;103663269;104663284
chr10;72810798;73810792
chr11;22834650;23834660
chrX;113710720;114710727
chr9;80054988;81055026
chr7;69237559;70237549
chr5;173082941;174082957
chr3;65165070;66165079
chr11;88021409;89021390
chr1;229266916;230266912
chr5;97446000;98445986
chr9;98672912;99672922
chr12;132678052;133678068
chr4;50464873;51464878
chr19;36634287;37634269
chr6;152970036;153970025
chr2;120377981;121377966
chr4;107779576;108779584
chr2;79360840;80360844
chrX;25917182;26917178
chr6;108507754;109507771
chr7;69404270;70404290
chr16;66650932;67650915
chr21;27953577;28953567
chr4;123200449;124200474
chr4;148045734;149045701
chrY;20848655;21848675
chr1;135878931;136878913
chr1;174550395;175550382
chr13;64808456;65808460
chr16;9922144;10922136
chr2;1446720;2446734
chr19;46986864;47986828
chr4;91597307;92597301
chr1;50290040;51290026
chrX;109953318;110953299
chr5;151881815;152881803
chr10;132797093;133797110
chr3;95472326;96472342
chr10;22716652;23716666
chr3;134537203;135537186
chr16;62804091;63804050
chr3;138700776;139700801
chr18;6319586;7319583
chr13;29163347;30163341
chr19;49456720;50456698
chr2;149169722;150169753
chr13;25796718;26796724
chr13;48271362;49271333
chr16;37780805;38780801
chr14;102200255;103200308
chr20;42571948;43571967
chr12;42468180;43468159
chr2;4234922;5234935
chr2;119959013;120959016
chr21;2970716;3970723
chr10_jh591181_fix;318531;1318521
chrY;46887114;47887137
chr2;34807651;35807661
chr16;78471875;79471860
chr1;239422012;240421987
chr9;39962329;40962322
chr4;58297086;59297069
chr5;123812345;124812326
chr13;19807559;20807569
chr15;55232946;56232944
chrX;19204659;20204673
chr16;53918959;54918974
chr6;81612705;82612653
chr6;35193774;36193784
chr13;88906793;89906776
chr1;118252609;119252608
chr13;71816460;72816443
chr1;143655164;144655192
chr6_apd_hap1;3068143;4068149
chr1;21353450;22353436
chr10;84701382;85701386
chr8;113609542;114609564
chr22;17336342;18336325
chr12;17575444;18575430
chr9;134205656;135205673
chr10;64465042;65465043
chr11;98409626;99409630
chr10;112600123;113600058
chr10;7599178;8599180
chr9;101463417;102463419
chr14;72865182;73865224
chr12;35779431;36779441
chr4;151239821;152239788
chr11;24512966;25512990
chr6;47526768;48526786
chr8;1442205;2442207
chr12;55669034;56669022
chr5;89143165;90143188
chr2;73340479;74340445
chr19;2769234;3769258
chr2;176361252;177361268
chr10;19051406;20051425
chr10;14385007;15385033
chr3;68054231;69054259
chr7;117974647;118974652
chr18;20415511;21415535
chr14;44360658;45360653
chr2;103626074;104626062
chr7;50604885;51604913
chr10;43038398;44038405
chr4;94143879;95143853
chr15;77711840;78711818
chr7;68044790;69044791
chr13;104441963;105441946
chr22;17623514;18623495
chr6;158390239;159390223
chr9;49165460;50165468
chr5;13250434;14250444
chr4;105625617;106625638
chr1;45834889;46834883
chr11;126601763;127601794
chr20;11063560;12063547
chr14;80498557;81498574
chr5;14611883;15611884
chr4;98095314;99095319
chr18;9899008;10898980
chr2;43516508;44516511
chr21;35296068;36296045
chr3;60205619;61205602
chr14;13671873;14671895
chr1;118901945;119901913
chr2;192596619;193596622
chr8;34954533;35954533
chr6;77028706;78028709
chr10;119194601;120194576
chr17;23082343;24082351
chr14;39138915;40138904
chr5;8527910;9527883
chr8;5750940;6750969
chr15;33277954;34277998
chr1;222501844;223501841
chr4;181777047;182777069
chr2;12425216;13425214
chrY;2247358;3247303
chr13;60233438;61233456
chr13;31898802;32898795
chrY;34367762;35367718
chr5;48459974;49459988
chr6;61356588;62356584
chr10;66027673;67027695
chr14;58630027;59630015
chrX;149073592;150073567
chr16;10928713;11928680
chr9;25781586;26781593
chr13;90067803;91067792
chr15;92729926;93729873
chr4;61109897;62109886
chrX;127461521;128461544
chr16;84356301;85356295
chr4;70353661;71353658
chr4;40046316;41046336
chr22;363664;1363660
chr21;39866470;40866449
chr9;13236837;14236863
chr11;101477435;102477450
chr21;34502717;35502680
chr2;79851452;80851459
chr17;37134667;38134671
chr21;40179816;41179825
chr14;86455074;87455067
chr12;21352980;22352974
chr22;28565256;29565260
chr15;87577791;88577786
