chr;start;end
chrI;143488;143737.056656958
chrI;123425;123823.797385039
chrI;91762;91813.8195129151
chrI;96763;97014.117718747
chrI;71581;71920.766743563
chrI;35991;36041.5924279058
chrI;170989;171381.925990874
chrI;136655;136741.196579223
chrI;72635;72810.3406346005
chrI;105485;105930.843394486
chrI;37289;37499.9066576272
chrI;16977;17260.802105936
chrI;213030;213151.080205817
chrI;94761;94782.3655410896
chrI;209332;209582.522891559
chrI;132452;132669.218075333
chrI;166573;166707.173045718
chrI;178755;178891.037261984
chrI;79935;80339.6763793688
chrI;42290;42425.712405653
chrI;33821;34164.2468367532
chrI;31343;31723.9421576037
chrI;205889;205972.996931055
chrI;74501;74805.8852222299
chrI;6489;6767.29764125793
chrI;36572;36605.2392462591
chrI;178739;178988.38038218
chrI;91467;91497.1428871065
chrI;117624;118081.139234424
chrI;50806;51103.0651504527
chrI;228241;228554.543965591
chrI;105051;105221.60942537
chrI;113470;113796.882619304
chrI;29111;29344.3603818646
chrI;53879;54269.698802274
chrI;42819;42937.3442315774
chrI;126896;127001.798936013
chrI;61306;61620.9611046595
chrI;188565;188673.269527401
chrI;224920;224930.617592361
chrI;19273;19564.77896731
chrI;66281;66353.4065567978
chrI;4123;4318.03613563805
chrI;91731;91849.1849666094
chrI;53607;54058.2627481976
chrI;15129;15399.2682603002
chrI;219162;219306.593630458
chrI;201675;201951.585908104
chrI;61040;61421.6732090786
chrI;110775;111249.805827022
chrI;202047;202468.408932568
chrI;7863;8252.83698488562
chrI;164500;164717.893770903
chrI;172264;172469.020730292
chrI;202014;202230.429776402
chrI;126185;126393.655474304
chrI;171804;172257.37353693
chrI;47309;47534.0463742172
chrI;23454;23716.9103643907
chrI;176337;176662.434923063
chrI;137664;137871.374881037
chrI;70688;71144.9905173211
chrI;119757;119778.328247865
chrI;219929;220194.20871874
chrI;13913;14132.0519881317
chrI;12856;13236.3036172907
chrI;40422;40572.3542256764
chrI;197899;198046.453950488
chrI;23269;23454.2207523461
chrI;43539;43736.7108344421
chrI;190105;190456.965554634
chrI;107715;108038.093902243
chrI;176429;176627.910527935
chrI;107531;107573.457798539
chrI;147297;147629.568878201
chrI;154472;154738.846969297
chrI;185573;185933.951430511
chrI;23561;23913.970271031
chrI;52625;52783.4537846032
chrI;183727;183781.285543222
chrI;112771;112774.995880093
chrI;51052;51249.0483859845
chrI;166880;167271.268228587
chrI;73023;73501.3192712531
chrI;33940;33990.3832879728
chrI;155731;155840.98302397
chrI;16114;16326.3097962919
chrI;192394;192442.133597156
chrI;113262;113446.878683371
chrI;183496;183970.957410943
chrI;189595;189938.108143239
chrI;223830;224106.127609178
chrI;61957;61978.8517307839
chrI;54642;54932.2433923757
chrI;38885;39181.5537773921
chrI;9641;9969.24593306836
chrI;74603;74952.855556506
chrI;92229;92556.531124667
chrI;23338;23435.4169959705
chrI;139140;139181.55127857
chrI;172033;172089.087831416
chrI;93390;93797.3667017891
chrI;190019;190290.046870786
chrI;165026;165295.888278531
chrI;225656;225813.382259325
chrI;160820;160971.490219081
chrI;19380;19520.0793419687
chrI;198900;198946.162913674
chrI;14280;14533.9270662158
chrI;199346;199393.858197195
chrI;108304;108376.012069005
chrI;42046;42247.0826066261
chrI;4018;4322.39174360741
chrI;2357;2793.77228185226
chrI;13670;13794.8911025751
chrI;150182;150579.244254385
chrI;183961;184422.364587505
chrI;184757;184842.368905267
chrI;151544;151810.279416213
chrI;2338;2418.84604782411
chrI;185980;186091.393924451
chrI;40189;40392.9709331604
chrI;181388;181464.358220045
chrI;202508;202665.911140738
chrI;19447;19581.9773690964
chrI;56352;56798.3855556318
chrI;197404;197878.631008706
chrI;48262;48262.8259414865
chrI;68037;68353.6966721152
chrI;123604;124034.5940174
chrI;103949;104231.49640929
chrI;28712;29051.0553331834
chrI;188885;189268.022365369
chrI;84267;84432.216549908
chrI;83630;83870.4448760517
chrI;129738;129957.486470854
chrI;8955;9079.79677325888
chrI;90023;90195.2329868034
chrI;135676;136003.945868655
chrI;51831;52113.6319051984
chrI;155548;156019.413783672
chrI;83075;83468.9339307946
chrI;189137;189471.322872639
chrI;82989;83394.9674967058
chrI;44938;45361.9925606578
chrI;195597;196073.076445743
chrI;4284;4585.03667766552
chrI;21931;22043.4158332712
chrI;127370;127623.533308366
chrI;133072;133400.026222927
chrI;130077;130367.062730718
chrI;125544;125669.689502178
chrI;95110;95184.4019376872
chrI;151722;151995.540823364
chrI;29769;30228.6399958931
chrI;34323;34760.3710465316
chrI;227587;227784.30961015
chrI;39399;39684.2556587002
chrI;93983;94085.958993836
chrI;35507;35942.610991021
chrI;171232;171369.503100222
chrI;160138;160470.482832185
chrI;66273;66351.7546150916
chrI;122193;122580.095995779
chrI;114034;114329.68892606
chrI;211364;211812.891213997
chrI;101888;101904.446722003
chrI;99976;100276.992145896
chrI;223624;223868.488268459
chrI;160464;160611.600872449
chrI;217671;217758.088457994
chrI;177712;177727.916148673
chrI;223344;223809.495907537
chrI;100776;101175.168271791
chrI;116481;116646.693325081
chrI;207754;208217.794037438
chrI;173587;173612.926946424
chrI;66504;66743.1779278244
chrI;205644;205688.319337119
chrI;67703;68091.4229527109
chrI;31404;31532.5550714507
chrI;68111;68384.9815438923
chrI;119848;120245.714902015
chrI;174410;174857.167100747
chrI;192303;192392.404517872
chrI;10853;11023.1622223816
chrI;165012;165071.365286907
chrI;57549;57987.8833346777
chrI;119679;120137.427908899
chrI;54264;54695.9659725096
chrI;107668;107822.31505622
chrI;194137;194558.588010783
chrI;94659;95050.4271530494
chrI;165163;165347.006419107
chrI;28580;28900.0720551371
chrI;20802;21065.8195378043
chrI;70828;71201.316901607
chrI;56950;57059.3313409976
chrI;30443;30592.7380739665
chrI;168926;169235.874307875
chrI;215231;215394.969079226
chrI;130852;130920.492323737
chrI;14870;15203.6378046637
chrI;162051;162267.959645261
chrI;40095;40103.5805841688
chrI;54703;54889.2016232702
chrI;2852;3135.72767722795
chrI;88464;88649.5687900072
chrI;131211;131471.852053796
chrI;130173;130643.468615381
chrI;25;224.793011846773
chrI;121802;122043.638171205
chrI;107557;107755.575462792
chrI;224721;224917.820209779
chrI;219131;219245.042499364
chrI;16982;17250.6823773952
chrI;40735;41180.2772442015
chrI;39045;39253.3865979146
chrI;74438;74451.1965315671
chrI;116798;116941.333853524
chrI;194089;194121.692143308
chrI;192094;192307.708879048
chrI;215625;215896.380209157
chrI;174047;174259.249126572
chrI;506;824.870171145
chrI;130868;130953.493619492
chrI;38447;38829.2357396991
chrI;150860;151337.277153604
chrI;173995;174312.087687708
chrI;197497;197762.295434039
chrI;101292;101373.50960315
chrI;215236;215239.586511698
