chr;x;labels
chr2L;17891808;Marker
chr2L;12882175;Marker
chr2L;6977310;Marker
chr2L;21360898;Marker
chr2L;7750699;Marker
chr2R;13805430;Marker
chr2R;7818613;Marker
chr2R;1032120;Marker
chr2R;1732203;Marker
chr2R;21325272;Marker
chr3L;25172708;Marker
chr3L;12343429;Marker
chr3L;18853768;Marker
chr3L;10625195;Marker
chr3L;17410558;Marker
chr3R;10937429;Marker
chr3R;30082424;Marker
chr3R;8763272;Marker
chr3R;25403776;Marker
chr3R;6405168;Marker
chr4;1174432;Marker
chrX;10497813;Marker
chrX;14551623;Marker
chrX;5749542;Marker
chrX;4325177;Marker
chrX;2086411;Marker
