chr;x0;x1;y1
chrX;1;354378.08;27
chrX;354378.08;708755.16;49
chrX;708755.16;1063132.24;7
chrX;1063132.24;1417509.32;17
chrX;1417509.32;1771886.4;2
chrX;1771886.4;2126263.48;41
chrX;2126263.48;2480640.56;20
chrX;2480640.56;2835017.64;40
chrX;2835017.64;3189394.72;27
chrX;3189394.72;3543771.8;21
chrX;3543771.8;3898148.88;44
chrX;3898148.88;4252525.96;22
chrX;4252525.96;4606903.04;47
chrX;4606903.04;4961280.12;42
chrX;4961280.12;5315657.2;17
chrX;5315657.2;5670034.28;1
chrX;5670034.28;6024411.36;44
chrX;6024411.36;6378788.44;40
chrX;6378788.44;6733165.52;41
chrX;6733165.52;7087542.6;17
chrX;7087542.6;7441919.68;2
chrX;7441919.68;7796296.76;16
chrX;7796296.76;8150673.84;17
chrX;8150673.84;8505050.92;12
chrX;8505050.92;8859428;18
chrX;8859428;9213805.08;49
chrX;9213805.08;9568182.16;34
chrX;9568182.16;9922559.24;36
chrX;9922559.24;10276936.32;17
chrX;10276936.32;10631313.4;23
chrX;10631313.4;10985690.48;10
chrX;10985690.48;11340067.56;10
chrX;11340067.56;11694444.64;49
chrX;11694444.64;12048821.72;13
chrX;12048821.72;12403198.8;28
chrX;12403198.8;12757575.88;43
chrX;12757575.88;13111952.96;44
chrX;13111952.96;13466330.04;1
chrX;13466330.04;13820707.12;16
chrX;13820707.12;14175084.2;0
chrX;14175084.2;14529461.28;41
chrX;14529461.28;14883838.36;26
chrX;14883838.36;15238215.44;40
chrX;15238215.44;15592592.52;48
chrX;15592592.52;15946969.6;39
chrX;15946969.6;16301346.68;4
chrX;16301346.68;16655723.76;47
chrX;16655723.76;17010100.84;37
chrX;17010100.84;17364477.92;40
chrX;17364477.92;17718855;7
