chr;start;end
chr1;60079608;60084120.3921316
chr1;102150518;102156839.683937
chr1;69285221;69296510.9435245
chr1;177637327;177644345.534784
chr1;71808399;71819134.1450256
chr1;23866874;23877151.4036568
chr1;50461035;50462442.1194195
chr1;190690749;190702579.781317
chr1;174100852;174101346.048377
chr1;154923949;154926434.148651
chr1;15011437;15015993.352732
chr1;100571416;100577333.150802
chr1;109080836;109093779.088972
chr1;49359485;49371819.149507
chr1;37033516;37046990.3162988
chr1;129673234;129686132.813651
chr1;196526468;196529284.12871
chr1;1825857;1826226.08440378
chr1;195529041;195530871.349314
chr1;113232602;113239253.062915
chr1;788856;801227.198122282
chr1;184251196;184259604.59358
chr1;40958803;40959940.7486032
chr1;117464238;117473278.413361
chr1;29930034;29939067.2282699
chr1;35379783;35384145.7393346
chr1;115424275;115425521.432553
chr1;104657265;104665734.019539
chr1;19709031;19718168.8716196
chr1;142784541;142788053.953094
chr1;72834297;72845428.9935533
chr1;174147162;174157295.88695
chr1;6020023;6024557.89787696
chr1;171500056;171504924.88263
chr1;22926704;22939568.0938475
chr1;74142553;74150114.9855817
chr1;54202865;54210649.5499872
chr1;17154107;17164889.1391937
chr1;39350198;39358533.3481112
chr1;9608767;9619021.71558149
chr1;37158597;37163430.2479535
chr1;68230803;68242253.0532359
chr1;88332616;88341510.9320117
chr1;59408892;59410486.8382713
chr1;106372711;106377402.68234
chr1;195196374;195197231.762041
chr1;106431241;106439585.144641
chr1;47660451;47671201.8129982
chr1;108520254;108524770.187904
chr1;147361728;147369939.396421
chr1;83660186;83668301.3965635
chr1;42966800;42979425.2473032
chr1;76151869;76156090.1824904
chr1;185752151;185757584.809944
chr1;143684491;143696230.574993
chr1;121938507;121943555.846982
chr1;69069284;69078291.6486399
chr1;184967557;184968921.337762
chr1;4379778;4389328.10868417
chr1;73672122;73677723.3181469
chr1;142101740;142113800.863128
chr1;118852862;118854089.867994
chr1;6345399;6358210.82920678
chr1;6605895;6610652.74802516
chr1;144293595;144302942.353103
chr1;52116785;52118572.0310343
chr1;140701990;140715086.198741
chr1;178179239;178185215.969438
chr1;92053430;92067422.7644186
chr1;38261438;38274595.9057826
chr1;187085955;187087650.350925
chr1;47044111;47055146.3753738
chr1;109295056;109297912.366661
chr1;12695118;12696242.5886044
chr1;184689260;184692951.742103
chr1;4649546;4653249.71863067
chr1;28041203;28043447.5319502
chr1;61843594;61852793.8196864
chr1;93867917;93880827.614473
chr1;167411852;167412217.533387
chr1;101722277;101724557.048704
chr1;103509255;103509473.026581
chr1;190928157;190931289.830403
chr1;23527331;23540377.0883865
chr1;22032680;22033057.0103921
chr1;11838803;11840348.402024
chr1;40523590;40531921.6101572
chr1;154716510;154725714.40435
chr1;155110293;155114868.914427
chr1;103829983;103832923.053962
chr1;58948367;58954906.7645831
chr1;118597691;118606938.7447
chr1;18644133;18646084.7658442
chr1;107772844;107785325.596855
chr1;100493744;100502788.507961
chr1;177196745;177208415.342306
chr1;18393777;18402065.9467165
chr1;39988121;39993892.4713767
chr1;3396622;3403414.61384087
chr1;160479474;160480298.422287
chr1;97864902;97873786.0645066
chr1;112310978;112318538.261265
chr1;88733345;88745023.8072446
chr1;29038556;29039514.2918368
chr1;72675389;72684011.309313
chr1;47376897;47379982.0004124
chr1;98067075;98076134.0816139
chr1;12393990;12394298.9600518
chr1;127162745;127172562.565758
chr1;83458495;83463814.1743915
chr1;104686794;104688417.188411
chr1;153399435;153399462.72846
chr1;43461215;43470819.4264481
chr1;122678422;122687839.678958
chr1;90427250;90438537.6969778
chr1;117575974;117577957.8
chr1;1500833;1513896.45814584
chr1;150627707;150630783.049553
chr1;4656341;4665836.5904246
chr1;195489007;195496016.44455
chr1;20960788;20972715.3272494
chr1;122352740;122357154.426605
chr1;4920404;4924887.27629216
chr1;154305533;154310943.638308
chr1;131463429;131475658.151829
chr1;18789370;18790375.1075298
chr1;77677241;77680150.3528174
chr1;171253072;171262282.499656
chr1;12167035;12180448.0806155
chr1;22501290;22508042.9110667
chr1;26606056;26611921.5068469
chr1;63773300;63776082.1083265
chr1;135075634;135086894.621844
chr1;111038967;111043527.085419
chr1;43722400;43732774.993453
chr1;13936979;13945142.3092018
chr1;82117185;82127080.70355
chr1;157270762;157284693.842237
chr1;58689544;58700026.5852542
chr1;108251665;108263601.149292
chr1;138636141;138636284.963177
chr1;27546765;27559098.9343212
chr1;178462974;178467384.109891
chr1;111100568;111107166.875373
chr1;64952021;64958361.0150659
chr1;150682858;150696617.574563
chr1;190912039;190921523.507253
chr1;99756790;99757645.2702449
chr1;3898453;3901290.45273382
chr1;73981666;73989148.4280187
chr1;137578478;137588481.553021
chr1;88164560;88165903.686393
chr1;162753809;162759596.445056
chr1;149535302;149541784.612717
chr1;69841931;69848085.8284022
chr1;172621964;172634341.8482
chr1;194361108;194370124.258436
chr1;5632252;5634259.54260102
chr1;152402587;152404362.471453
chr1;114581060;114584899.629105
chr1;17017262;17020703.1339119
chr1;11276478;11284044.4551312
chr1;72837386;72845450.5462012
chr1;164971483;164975527.459402
chr1;43343616;43349402.4483683
chr1;87021274;87022165.3285024
chr1;158471817;158476096.079439
chr1;154757478;154759868.894098
chr1;142355264;142364598.348803
chr1;47807523;47817582.0939715
chr1;41402409;41414755.5943856
chr1;121681575;121684530.243992
chr1;89708003;89710682.0550821
chr1;43663057;43675209.4098396
chr1;28157162;28162615.2358869
chr1;190842409;190844587.321329
chr1;82816176;82828640.850623
chr1;100264520;100271771.932191
chr1;36277911;36284195.9784839
chr1;2490646;2495364.95640713
chr1;88012350;88014565.1751642
chr1;88879993;88883520.4702485
chr1;139430459;139442501.062782
chr1;13633164;13645631.846908
chr1;33002661;33006645.9136203
chr1;33584050;33588870.0503188
chr1;115949553;115963432.765991
chr1;93016179;93023115.2662242
chr1;83555637;83563308.1598995
chr1;154043472;154055946.82724
chr1;54746608;54753384.6698557
chr1;125784987;125787806.136157
chr1;66355347;66360024.2632983
chr1;151474375;151488328.00976
chr1;60683079;60683878.4362709
chr1;72757417;72761987.0347413
chr1;60457242;60459678.7980296
chr1;135805105;135809980.247037
chr1;108554688;108565718.427194
chr1;58594483;58606579.6851046
chr1;13176077;13177002.9580693
chr1;102735197;102747072.881449
chr1;166755692;166757732.795643
chr1;122933049;122937456.037111
chr1;83840485;83852514.7161793
chr1;157731535;157733625.430647
chr1;99762452;99775083.2366592
chr1;69756755;69758252.2863202
chr1;10163023;10168485.7643001
chr1;136528181;136539639.892728
chr1;37368683;37382029.9269666
chr1;124964615;124970569.302019
chr1;37038071;37050676.7698616
chr1;189313553;189320215.790891
chr1;196551822;196564459.455051
chr1;190328387;190339395.97742
chr1;158512742;158518097.679365
chr1;78338505;78350486.7494299
chr1;111837304;111841107.096827
chr1;73374895;73379162.7082851
chr1;27879114;27881918.564718
chr1;82832875;82833337.3586923
chr1;174710820;174717432.547142
chr1;84816189;84819034.0615427
chr1;14200874;14210902.6916115
chr1;64749476;64758329.6068552
chr1;135935552;135944125.785062
chr1;151262503;151265460.182249
chr1;99286827;99288975.5646769
chr1;100330098;100343946.023221
chr1;49981518;49987420.6329376
chr1;142171036;142180319.388774
chr1;18541589;18541867.736252
chr1;23488054;23492115.0551594
chr1;85418863;85432301.3871364
chr1;117192505;117199603.771505
chr1;174180037;174183219.158598
chr1;147736072;147738424.281782
chr1;146596713;146598785.174344
chr1;183814089;183825102.161917
chr1;69194081;69206601.9933345
chr1;50687260;50690101.6387508
chr1;4905927;4919748.21843053
chr1;15657916;15668650.6387122
chr1;79476932;79485064.3400613
chr1;101683858;101695528.607595
chr1;29231793;29235383.6300057
chr1;180521327;180533547.251262
chr1;133088748;133090435.009896
chr1;175214047;175217803.907398
chr1;14146812;14149993.8857831
chr1;19828087;19840622.8992231
