chr;start;end
chr1;145589723;145599714.75813
chr1;62699442;62708524.0654932
chr1;116986873;116997907.719803
chr1;128025983;128033227.940014
chr1;20133027;20141640.8401057
chr1;128782729;128791318.878075
chr1;83267570;83272088.996293
chr1;113865240;113873905.397831
chr1;45932959;45933829.3980569
chr1;159214820;159220198.271514
chr1;89821002;89829770.3961381
chr1;110779947;110790557.859392
chr1;139077129;139087738.463098
chr1;66713092;66723730.1087067
chr1;29868134;29870385.46433
chr1;191758715;191766885.771831
chr1;114017616;114030210.129204
chr1;1012750;1021794.03831958
chr1;173849705;173850470.509516
chr1;145477043;145487757.783222
chr1;129870840;129882053.107075
chr1;172531836;172533986.295065
chr1;168131972;168144561.700817
chr1;26839187;26848488.1069782
chr1;90788806;90791207.6306645
chr1;46953260;46955352.3982439
chr1;158933616;158933681.110542
chr1;100282916;100296697.773735
chr1;126973868;126975128.577222
chr1;48646312;48654600.8108713
chr1;166348748;166350874.912355
chr1;194639023;194646556.013575
chr1;6385365;6396245.92237092
chr1;101979859;101991640.066813
chr1;116530520;116534351.139796
chr1;63626840;63631377.2430131
chr1;138598769;138602134.44917
chr1;47687432;47691332.9547691
chr1;132200814;132202290.938164
chr1;108794815;108799218.110037
chr1;4499653;4509699.29264407
chr1;144749697;144759318.316407
chr1;168855988;168856881.470579
chr1;86470697;86478694.7022629
chr1;295601;303327.338215736
chr1;163757832;163765939.363962
chr1;167745178;167746756.780596
chr1;148891714;148903119.956051
chr1;21255852;21265245.6390399
chr1;142171928;142173178.549554
chr1;162528712;162539835.669368
chr1;172504312;172509365.695851
chr1;129442015;129448321.101192
chr1;830540;837088.629993745
chr1;120489544;120496772.582545
chr1;134767626;134781061.674108
chr1;26583397;26594940.1290327
chr1;91051329;91060688.1809258
chr1;66363272;66367232.6484014
chr1;65508185;65511207.9566557
chr1;3351580;3359337.6774531
chr1;77847160;77857251.4731875
chr1;168298694;168305824.34151
chr1;160642914;160645986.186269
chr1;52905693;52910596.9614793
chr1;167733526;167736001.477559
chr1;178435283;178446274.509273
chr1;187408822;187410935.687864
chr1;84825463;84836051.8853662
chr1;98146732;98149313.2204719
chr1;89804213;89815394.6871042
chr1;175554258;175554871.925679
chr1;89922565;89923147.2428746
chr1;23875270;23878664.9275614
chr1;49565475;49566773.2801351
chr1;78097297;78105739.5678216
chr1;180569674;180572110.128021
chr1;21974583;21984667.6259335
chr1;34888205;34892022.9775781
chr1;93463395;93469063.0891738
chr1;95132142;95145608.4371004
chr1;23988625;23994920.6589309
chr1;16660446;16665698.6995168
chr1;11044831;11048610.4172457
chr1;47676958;47683795.495273
chr1;84269496;84278042.2870463
chr1;50005804;50016555.9637347
chr1;40937131;40943604.3973363
chr1;50029085;50040799.4155031
chr1;161202337;161212460.790835
chr1;12260009;12272771.0337514
chr1;162557943;162565291.792788
chr1;79969408;79980678.7332029
chr1;153222410;153225150.285676
chr1;172218406;172230875.395693
chr1;121493007;121499793.119555
chr1;130963823;130964967.601125
chr1;56018727;56019592.0239955
chr1;68607444;68607689.1835537
chr1;158242848;158255496.647809
chr1;156400504;156400512.0934
chr1;110142407;110144923.688925
chr1;62091110;62098688.8968809
chr1;28610284;28619007.4989824
chr1;20602909;20606758.8291862
chr1;20035786;20045264.9431968
chr1;169526716;169540267.562278
chr1;169341511;169353622.036147
chr1;135576746;135588073.072472
chr1;1896996;1899478.87344339
chr1;93922932;93924020.1748211
chr1;58548326;58552141.652025
chr1;138959835;138965112.896623
chr1;25239465;25248609.7669792
chr1;18442620;18451311.6300076
chr1;7459205;7468186.58536103
chr1;61919463;61922723.5714293
chr1;189274510;189278680.753764
chr1;134432952;134434890.282313
chr1;149451435;149460258.342338
chr1;157341599;157345754.079735
chr1;76133196;76142646.7825991
chr1;15383567;15396691.208225
chr1;71176045;71180418.3059557
chr1;54085255;54086963.4548401
chr1;141947303;141952233.192956
