chr;start;end
chr1;65728307;65742903.7610327
chr1;255400237;255415400.778164
chr1;230409515;230423681.066264
chr1;194761822;194774106.261758
chr1;41428103;41442248.0632659
chr1;239488705;239501480.285285
chr1;232910627;232921956.694518
chr1;32439016;32449197.8833119
chr1;32366056;32366469.313407
chr1;121076949;121087203.245201
chr1;58716462;58730324.0878416
chr1;16340154;16343044.2337007
chr1;169537876;169552330.376541
chr1;63353048;63354034.615961
chr1;149803351;149814386.093964
chr1;164810897;164811843.007064
chr1;207412167;207426909.128279
chr1;130601409;130608825.575264
chr1;595727;601637.187709963
chr1;192632613;192632805.552229
chr1;239941832;239949678.397562
chr1;121523617;121539505.949853
chr1;85553040;85569256.2914297
chr1;184058118;184073315.776652
chr1;165258232;165271908.49142
chr1;113771982;113774465.257526
chr1;157578765;157588581.426282
chr1;115091602;115096095.078334
chr1;281889757;281891341.630753
chr1;133412784;133425160.246393
chr1;199830625;199836508.836128
chr1;125547444;125558819.691119
chr1;206295650;206307298.131297
chr1;228121893;228125718.144015
chr1;241255712;241261456.934176
chr1;233697339;233704039.325529
chr1;124560788;124563071.667687
chr1;6310463;6312045.2960816
chr1;89237809;89254388.4036913
chr1;78702641;78717677.1074629
chr1;106237795;106252061.056902
chr1;94368343;94370483.9500019
chr1;185553501;185564861.390142
chr1;139028061;139034014.998306
chr1;91717172;91719620.7591208
chr1;79043593;79056203.4562577
chr1;169821823;169837578.265243
chr1;224567453;224578420.728847
chr1;8850759;8857817.20667089
chr1;72643527;72657842.9679363
chr1;271664744;271676420.079139
chr1;173986298;173991641.651476
chr1;271322174;271326397.547466
chr1;115265908;115267001.262561
chr1;113940350;113949958.85733
chr1;192655464;192661553.670907
chr1;203640603;203645074.430396
chr1;187295943;187302121.141059
chr1;49819155;49826333.2033771
chr1;271638768;271640494.993691
chr1;65240370;65255640.6050111
chr1;24051344;24063969.7802165
chr1;156116049;156122037.272642
chr1;95299772;95305812.1378474
chr1;140401977;140417276.212146
chr1;221945031;221945328.183741
chr1;121277616;121281543.491911
chr1;12507181;12511184.1286113
chr1;181121896;181128161.024828
chr1;206014549;206018483.58983
chr1;112458612;112466036.912819
chr1;30797264;30809595.0473959
chr1;192687640;192702001.634186
chr1;276121730;276122639.444013
chr1;66260769;66274193.6360677
