chr;start;end;pval
chr1;159011779;160601896.79;3.37198696332052
chr1;102364030;103387670.3;0.477004770655185
chr1;234105126;236446177.26;6.74286886816844
chr1;144405851;145849909.51;9.7942094411701
chr1;5855109;5913660.09;0.952794423792511
chr1;95252892;96205420.92;3.86215460719541
chr1;194489807;196434705.07;2.61415481800213
chr1;132037913;133358292.13;6.17615493480116
chr1;191582917;193498746.17;7.35257475171238
chr1;124064631;125305277.31;2.22840521950275
chr1;232796770;235124737.7;8.28535798937082
chr1;5865220;5923872.2;7.42432347498834
chr1;198272402;200255126.02;1.77490818081424
chr1;216255870;218418428.7;5.73568755760789
chr1;194364669;196308315.69;1.21913496870548
chr1;93901996;94841015.96;5.91992658097297
chr1;110966835;112076503.35;8.90827087685466
chr1;137250429;138622933.29;2.8447432233952
chr1;153117634;154648810.34;9.40564709017053
chr1;143933693;145373029.93;4.35547987231985
chr1;23468534;23703219.34;8.07990283239633
chr1;95562487;96518111.87;6.17356273811311
chr1;233598010;235933990.1;8.72260665288195
chr1;44379721;44823518.21;7.39897834369913
chr1;117467435;118642109.35;3.96159095922485
chr1;53265297;53797949.97;5.4896788415499
chr1;85871402;86730116.02;4.73241991363466
chr1;92019138;92939329.38;0.139368693344295
chr1;144796580;146244545.8;1.14062166307122
chr1;142191638;143613554.38;4.05560664832592
chr1;43842353;44280776.53;3.02539587719366
chr1;177158186;178929767.86;5.6770062725991
chr1;14745808;14893266.08;3.20437560090795
chr1;101297634;102310610.34;2.82675133086741
chr1;141215750;142627907.5;0.372864136006683
chr1;166832696;168501022.96;9.84002268873155
chr1;93264006;94196646.06;8.27593175927177
chr1;230812632;233120758.32;4.10128984833136
chr1;53810231;54348333.31;9.13114816416055
chr1;52972355;53502078.55;9.69150818651542
chr1;70045466;70745920.66;1.51000639656559
chr1;146625493;148091747.93;6.65462422417477
chr1;136687351;138054224.51;6.92620661575347
chr1;181549761;183365258.61;1.93466325988993
chr1;40466844;40871512.44;6.04889275273308
chr1;184077658;185918434.58;9.55671881092712
chr1;96860665;97829271.65;4.48209297610447
chr1;88268882;89151570.82;7.30895458254963
chr1;128029451;129309745.51;2.3531088558957
chr1;225276648;227529414.48;2.68258185591549
chr1;163884580;165523425.8;9.39461519941688
chr1;23517456;23752630.56;6.83778388192877
chr1;168705701;170392758.01;9.10545663908124
chr1;167738283;169415665.83;6.91975284833461
chr1;198637237;200623609.37;1.21951007982716
chr1;84365520;85209175.2;2.17669872799888
chr1;84417709;85261886.09;3.20283303037286
chr1;61321726;61934943.26;2.66998991603032
chr1;94310555;95253660.55;2.73337648250163
chr1;177556492;179332056.92;6.84006142430008
chr1;87899008;88777998.08;0.413494750391692
chr1;39986073;40385933.73;6.09625682700425
chr1;42844993;43273442.93;8.33937256364152
chr1;215593370;217749303.7;0.280294513795525
chr1;191985692;193905548.92;6.88807649770752
