chr;x0;x1;y1
chrI;1;23022.8;3.69117429871112
chrI;23022.8;46044.6;0.461746479361318
chrI;46044.6;69066.4;0.482227514963597
chrI;69066.4;92088.2;2.65000928370282
chrI;92088.2;115110;4.94557779359166
chrI;115110;138131.8;7.47461802202743
chrI;138131.8;161153.6;5.60577354566194
chrI;161153.6;184175.4;0.151199247362092
chrI;184175.4;207197.2;5.88506127758883
chrI;207197.2;230219;3.59386041364633
chrII;1;81319.4;5.63127362416126
chrII;81319.4;162637.8;5.80863160884473
chrII;162637.8;243956.2;7.18857485577464
chrII;243956.2;325274.6;2.61089398639742
chrII;325274.6;406593;2.57531952084973
chrII;406593;487911.4;1.89551928662695
chrII;487911.4;569229.8;4.39527403672691
chrII;569229.8;650548.2;1.59603808110114
chrII;650548.2;731866.6;7.45699884637725
chrII;731866.6;813185;5.87102480744943
chrIII;1;31663;7.24958062979858
chrIII;31663;63325;0.622767088701949
chrIII;63325;94987;4.53483810110483
chrIII;94987;126649;6.5213826360181
chrIII;126649;158311;7.23250951578375
chrIII;158311;189973;6.41969817595091
chrIII;189973;221635;2.86824941646773
chrIII;221635;253297;3.14195155394264
chrIII;253297;284959;2.03711578776129
chrIII;284959;316621;7.45223954147659
chrIV;1;153194.3;8.54988991990685
chrIV;153194.3;306387.6;1.4796381831402
chrIV;306387.6;459580.9;8.2778973748209
chrIV;459580.9;612774.2;0.729553822637536
chrIV;612774.2;765967.5;5.17600932412315
chrIV;765967.5;919160.8;3.4015446147183
chrIV;919160.8;1072354.1;5.12966603608802
chrIV;1072354.1;1225547.4;5.87105125808157
chrIV;1225547.4;1378740.7;5.24829751420766
chrIV;1378740.7;1531934;8.6023255655542
chrV;1;57688.4;3.39058047118597
chrV;57688.4;115375.8;5.83132973327301
chrV;115375.8;173063.2;2.79358042844106
chrV;173063.2;230750.6;0.586122865439393
chrV;230750.6;288438;2.01612419702578
chrV;288438;346125.4;4.97376888056751
chrV;346125.4;403812.8;8.39755442161113
chrV;403812.8;461500.2;2.82549267453142
chrV;461500.2;519187.6;1.04658705834299
chrV;519187.6;576875;3.73661637129262
chrVI;1;27017.1;3.70046175413299
chrVI;27017.1;54033.2;7.24638980808668
chrVI;54033.2;81049.3;2.9506922185421
chrVI;81049.3;108065.4;5.5141135834856
chrVI;108065.4;135081.5;2.77893182609696
chrVI;135081.5;162097.6;7.40269449537154
chrVI;162097.6;189113.7;1.39472731102724
chrVI;189113.7;216129.8;0.256598672177643
chrVI;216129.8;243145.9;0.886802875273861
chrVI;243145.9;270162;5.8501618196955
chrVII;1;109095;6.10532707949169
chrVII;109095;218189;0.34966971015092
chrVII;218189;327283;2.43731402826961
chrVII;327283;436377;2.13089697193354
chrVII;436377;545471;1.13790627163835
chrVII;545471;654565;2.97019939972088
chrVII;654565;763659;1.47088488342706
chrVII;763659;872753;3.92963605925906
chrVII;872753;981847;2.72281572225038
chrVII;981847;1090941;7.45980416298844
chrVIII;1;56265.3;2.29593217265792
chrVIII;56265.3;112529.6;8.55723417755216
